type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
VERB+PRON	wymknąć	wymknąć	11	się	się	12	wymknąć się	wymknąć się	Ach zamknąłem zamknął em okno , przytrzasnąwszy sobowtórowe pierze , próbowało wymknąć się , błyskawicznie drobiąc nóżkami ku framudze , nóżkami z mego piżamowego kołnierzyka .
VERB+PRON	da	dać	1	się	się	2	da się	dać się	Nie da się ukryć ich charakteru .
VERB+PRON	zdecydują	zdecydować	3	się	się	4	zdecydują się	zdecydować się	Rodziny , które zdecydują się kupić na kredyt własne M , mogą liczyć na pomoc finansową .
PART+VERB	nie	nie	1	ma	mieć	2	nie ma	nie mieć	Chyba nie ma co liczyć na grad medali .
VERB+NOUN	wzbudziła	wzbudzić	17	przestrach	przestrach	18	wzbudziła przestrach	wzbudzić przestrach	Wówczas wiadomość ta - i tam , gdzie powitano ją z zadowoleniem , i tam , gdzie wzbudziła przestrach - wywołała olbrzymie , wstrząsające wrażenie , zwracając na osobę nowego papieża uwagę i ciekawość całego świata .
VERB+NOUN	dostała	dostać	8	wymówienie	wymówienie	9	dostała wymówienie	dostać wymówienie	Jolanta Żeleńska już we wrześniu ub . roku dostała wymówienie .
VERB+NOUN	prowadzą	prowadzić	19	głodówkę	głodówka	20	prowadzą głodówkę	prowadzić głodówka	"Porozumienie "" S "" z rządem nie zadowala kierowców z wojewódzkiej KTS w Poznaniu , którzy od kilku dni prowadzą głodówkę protestacyjną ."
VERB+PRON	znajdą	znaleźć	2	się	się	3	znajdą się	znaleźć się	Pierwsze osoby znajdą się za bramą ZNTK już pod koniec czerwca .
VERB+PRON	uda	udać	3	się	się	4	uda się	udać się	- Jeżeli nie uda się wyłonić prezesa , Instytutu Pamięci Narodowej po prostu nie będzie - przestrzega przewodniczący kolegium IPN Andrzej Grajewski .
VERB+ADP	leży	leżeć	3	w	w	4	leży w	leżeć w	Teraz ich los leży w rękach wojewody .
VERB+NOUN	dokonać	dokonać	7	analizy	analiza	8	dokonać analizy	dokonać analiza	Chodzi o to , aby można było dokonać analizy na podstawie możliwie dużej liczby obrazów zarejestrowanych z różnych ujęć .
VERB+PRON	wywodzą	wywodzić	2	się	się	3	wywodzą się	wywodzić się	Z Goleszowa wywodzą się znani sportowcy , skoczkowie narciarscy Leopold i Władysław Tajnerowie i piloci szybowcowi Edward Makula i Franciszek Kępka .
VERB+PRON	Wydaje	wydawać	0	się	się	1	Wydaje się	wydawać się	Wydaje się , że ma mniejsze szanse , ponieważ nie ma mocnego nazwiska i nie jest silną osobowością .
VERB+PRON	Zdarza	zdarzać	1	się	się	2	Zdarza się	zdarzać się	- Zdarza się - bąknąłem bąknął em .
VERB+NOUN	mamy	mieć	5	szczęście	szczęście	6	mamy szczęście	mieć szczęście	- To znaczy , że mamy szczęście .
PRON+VERB	się	się	7	bawić	bawić	8	się bawić	się bawić	- W taką grę , to my się bawić nie będziemy ! - powiedziało kilkunastu , czy może nawet kilkudziesięciu facetów i bryknęło z obłędem w oczach przez płot do domów .
PRON+VERB	sobie	siebie	2	wyobrazić	wyobrazić	3	sobie wyobrazić	siebie wyobrazić	- Proszę sobie wyobrazić , jak się teraz czuję . . .
VERB+PRON	Zdziwisz	zdziwić	0	się	się	1	Zdziwisz się	zdziwić się	Zdziwisz się , ale wielu głosowało za Bośnią .
VERB+PRON	stało	stać	9	się	się	10	stało się	stać się	Wielkopolska Huta Szkła zwiększyła swoją produkcję , dlatego niezbędne stało się dla niej wybudowanie magazynów w których przechowywane będą gotowe wyroby .
NOUN+PRON	powoływania	powoływać	4	się	się	5	powoływania się	powoływać się	Najważniejsza różnica dotyczy zakazu powoływania się w reklamach telewizyjnych na osoby , które mogą być kojarzone ze środowiskiem lekarskim .
VERB+PRON	znaleźli	znaleźć	7	się	się	8	znaleźli się	znaleźć się	"Zofia Kuratowska , Kora i Jerzy Jaskiernia znaleźli się wśród wyróżnionych przyznaną po raz pierwszy nagrodą "" Tęczowy Laur "" , ustanowioną przez organizacje gejowskie i redakcje pism dla homoseksualistów ."
VERB+PRON	znajdą	znaleźć	3	się	się	4	znajdą się	znaleźć się	"Pod jednym dachem znajdą się tu hipermarket "" Real "" ( artykuły spożywcze i przemysłowe codziennego użytku ) , market budowlany "" Praktiker "" , "" Media Markt "" ( sklep z elektroniką ) , "" Dom Mody Adler "" , a ponadto w pasażu - aż 64 sklepy detaliczne , do tego apteka , piekarnia , salon fryzjerski , bank i kilkanaście innych punktów usługowych ."
VERB+PRON	doszukał	doszukać	4	się	się	5	doszukał się	doszukać się	Konstanty Fedorowicz , który doszukał się babki Polki , widzi w Bohatyrowiczach znakomity ośrodek turystyczny .
VERB+ADP	wychodzi	wychodzić	1	z	z	2	wychodzi z	wychodzić z	Matka wychodzi z siebie : krzyczy , czasem szarpnie .
VERB+PRON	wydawał	wydawać	2	się	się	3	wydawał się	wydawać się	Dyna nie wydawał się obrażony .
VERB+PRON	znajdzie	znaleźć	12	się	się	13	znajdzie się	znaleźć się	Ich sprawa , niezależnie od ewentualnych sankcji służbowych w urzędzie gminy , znajdzie się na wokandzie Kolegium Orzekającego , a to tylko dlatego , iż nikt nie został ranny .
VERB+PRON	rozchodzą	rozchodzić	5	się	się	6	rozchodzą się	rozchodzić się	Tu drogi 612 i 608 rozchodzą się .
VERB+ADP	mając	mieć	7	w	w	8	mając w	mieć w	"Patrząc na ten fragment fotografii ( i mając w świeżej pamięci wiersz Wieniawy "" Moja para "" , o kasztanie i kochance ) myślę o osobliwej geopolitycznej notatce generała z roku 1941 : "" Potencje świata , uważające się za naszych protektorów , chciały mieć Polskę małą , mizerną ."
PRON+VERB	się	się	5	zdarzyć	zdarzyć	6	się zdarzyć	się zdarzyć	""" Dziewiąte Kraje "" mogą się zdarzyć i na jawie , byle śmy tylko chcieli ich nie burzyć ."
PRON+VERB	się	się	4	czuć	czuć	5	się czuć	się czuć	- Będąc urzędnikiem mogę się czuć na tyle silny , na ile pozwala mi prawo .
VERB+PRON	pojawiły	pojawić	3	się	się	4	pojawiły się	pojawić się	Co więcej , pojawiły się podejrzenia , że rejestrowanie biotencjałów mózgowych pozwala obrazować nieświadome procesy umysłowe związane z postrzeganiem , mową i motoryką .
VERB+PRON	udało	udać	1	się	się	2	udało się	udać się	Nie udało się zdobyć kompletu punktów liderowi ligi okręgowej - Chojniczance - w pierwszym meczu rundy wiosennej sezonu 1997 / 1998 w meczu z rezerwami II-ligowego Zawiszy Bydgoszcz .
VERB+PRON	znalazły	znaleźć	4	się	się	5	znalazły się	znaleźć się	Na liście tych firm znalazły się m.in . spółdzielnie mleczarskie w Kolnie , Wysokiem Mazowieckiem oraz zakłady w Suwałkach .
VERB+ADP	dostał	dostać	5	w	w	6	dostał w	dostać w	Za sportowe audi , jakie dostał w nagrodę , musiał by zapłacić 5 proc . cła , 22 proc . VAT-u i 6,4 proc . akcyzy .
NOUN+NOUN	rzucaniu	rzucać	4	zaklęć	zaklęcie	5	rzucaniu zaklęć	rzucać zaklęcie	Cykoria - pomaga w rzucaniu zaklęć czyniących zło - dziś stwierdza się , że ma związek z bezsennością , wydzielaniem żółci i nieżytami przewodu pokarmowego .
VERB+NOUN	ma	mieć	14	związek	związek	15	ma związek	mieć związek	Cykoria - pomaga w rzucaniu zaklęć czyniących zło - dziś stwierdza się , że ma związek z bezsennością , wydzielaniem żółci i nieżytami przewodu pokarmowego .
NOUN+PROPN	wydanie	wydać	11	pozwolenia	pozwolenie	12	wydanie pozwolenia	wydać pozwolenie	Pewien wpływ na przebieg sprawy miał też sposób załatwiania wniosku o wydanie pozwolenia .
VERB+NOUN	dają	dawać	20	początek	początek	21	dają początek	dawać początek	Gamety męskie i żeńskie zawierające haploidalną , czyli pojedynczą liczbę chromosomów ( określaną jako n ) w procesie zapłodnienia , dają początek organizmowi potomnemu o diploidalnej , czyli podwójnej liczbie chromosomów .
VERB+PRON	roześmiał	roześmiać	3	się	się	4	roześmiał się	roześmiać się	Trzymający ją mężczyzna roześmiał się .
VERB+PRON	ukazał	ukazać	3	się	się	4	ukazał się	ukazać się	W pierwszym numerze ukazał się obszerny wywiad z byłym koordynatorem ds . służb specjalnych i posłem SLD Zbigniewem Siemiątkowskim .
ADJ+PRON	odnoszące	odnosić	5	się	się	6	odnoszące się	odnosić się	Należą do nich także dyrektywy odnoszące się do poszczególnych umów konsumenckich ( sprzedaż poza miejscem stałego prowadzenia handlu - dyrektywa 85 / 577 ; o kredycie konsumenckim - 87 / 107 , z modyfikacją w dyrektywie 90 / 88 ; o podróżach i imprezach turystycznych sprzedawanych jako pakiet usług - 90 / 314 ; seria dyrektyw dotyczących różnego rodzaju umów ubezpieczenia majątkowego - zwłaszcza : 72 / 166 , 73 / 239 , 79 / 267 , 84 / 5 , 88 / 357 , 90 / 218 , 90 / 619 , 90 / 232 , 92 / 49 , 92 / 96 ; o własności podzielonej co do czasu korzystania z rzeczy , tzw . time-sharing - dyrektywa 94 / 47 ; o umowach zawieranych na odległość - dyrektywa 97 / 7 ) .
NOUN+NOUN	prowadzenia	prowadzić	16	handlu	handel	17	prowadzenia handlu	prowadzić handel	Należą do nich także dyrektywy odnoszące się do poszczególnych umów konsumenckich ( sprzedaż poza miejscem stałego prowadzenia handlu - dyrektywa 85 / 577 ; o kredycie konsumenckim - 87 / 107 , z modyfikacją w dyrektywie 90 / 88 ; o podróżach i imprezach turystycznych sprzedawanych jako pakiet usług - 90 / 314 ; seria dyrektyw dotyczących różnego rodzaju umów ubezpieczenia majątkowego - zwłaszcza : 72 / 166 , 73 / 239 , 79 / 267 , 84 / 5 , 88 / 357 , 90 / 218 , 90 / 619 , 90 / 232 , 92 / 49 , 92 / 96 ; o własności podzielonej co do czasu korzystania z rzeczy , tzw . time-sharing - dyrektywa 94 / 47 ; o umowach zawieranych na odległość - dyrektywa 97 / 7 ) .
NOUN+ADJ	umowach	umowa	125	zawieranych	zawierać	126	umowach zawieranych	umowa zawierać	Należą do nich także dyrektywy odnoszące się do poszczególnych umów konsumenckich ( sprzedaż poza miejscem stałego prowadzenia handlu - dyrektywa 85 / 577 ; o kredycie konsumenckim - 87 / 107 , z modyfikacją w dyrektywie 90 / 88 ; o podróżach i imprezach turystycznych sprzedawanych jako pakiet usług - 90 / 314 ; seria dyrektyw dotyczących różnego rodzaju umów ubezpieczenia majątkowego - zwłaszcza : 72 / 166 , 73 / 239 , 79 / 267 , 84 / 5 , 88 / 357 , 90 / 218 , 90 / 619 , 90 / 232 , 92 / 49 , 92 / 96 ; o własności podzielonej co do czasu korzystania z rzeczy , tzw . time-sharing - dyrektywa 94 / 47 ; o umowach zawieranych na odległość - dyrektywa 97 / 7 ) .
VERB+ADP	przebywają	przebywać	17	na	na	18	przebywają na	przebywać na	Pieniądze będą wykorzystane na zakup ubrań i przyborów szkolnych dla siedmiorga dzieci powodzian z Sokolnik , które przebywają na wakacjach w Górze .
VERB+PRON	przedzierać	przedzierać	8	się	się	9	przedzierać się	przedzierać się	Przyłączył się do grupy ułanów , którzy postanowili przedzierać się na Węgry , by walczyć dalej .
ADP+NOUN	po	po	5	stronie	strona	6	po stronie	po strona	W zeszłym tygodniu stanął on po stronie zawodników , gdy właściciel klubu Mirosław Stasiak chciał ich ukarać finansowo .
VERB+NOUN	rodzą	rodzić	10	niebezpieczeństwo	niebezpieczeństwo	11	rodzą niebezpieczeństwo	rodzić niebezpieczeństwo	Wczoraj Rada Europy przestrzegła , że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach .
NOUN+NOUN	zawarcia	zawrzeć	13	umowy	umowa	14	zawarcia umowy	zawrzeć umowa	Kopiowanie dokumentów służy wyłącznie zabezpieczeniu usługodawcy lub kredytodawcy , gdyż stanowi uprawdopodobnienie faktu zawarcia umowy .
VERB+ADP	powołano	powołać	9	do	do	10	powołano do	powołać do	W celu rozpatrywania sporów dotyczących czynszów najmu i dzierżawnych powołano do życia 12 sądów ds . czynszów najmu i drugie tyle ds . czynszów dzierżawnych .
VERB+NOUN	prowadził	prowadzić	17	działalność	działalność	18	prowadził działalność	prowadzić działalność	Jedynym wyjątkiem od braku regulacji prawnych konkubinatu jest odpowiedzialność konkubenta za zobowiązania podatkowe partnera – jeżeli ten prowadził działalność gospodarczą , a konkubent współdziałał w jej wykonywaniu i osiągał z tego korzyści .
VERB+SCONJ	kłamał	kłamać	8	jak	jak	9	kłamał jak	kłamać jak	Podczas wyborów prezydenckich w 1995 r . Kwaśniewski kłamał jak z nut , że jest magistrem .
ADP+NOUN	z	z	10	nut	nuta	11	z nut	z nuta	Podczas wyborów prezydenckich w 1995 r . Kwaśniewski kłamał jak z nut , że jest magistrem .
ADJ+NOUN	niosącym	nieść	11	pomoc	pomoc	12	niosącym pomoc	nieść pomoc	Zwolnienie z opłat przysługuje zarówno nadawcom indywidualnym , jak i instytucjom niosącym pomoc powodzianom .
VERB+PRON	uśmiechnął	uśmiechnąć	6	się	się	7	uśmiechnął się	uśmiechnąć się	- Zagramy z przyjemnością - Himilsbach uśmiechnął się do przyjaciela .
VERB+PRON	decydujemy	decydować	1	się	się	2	decydujemy się	decydować się	Często decydujemy się na położenie w kuchni lub łazience jasnych , pastelowych płytek , szczególnie gdy te pomieszczenia nie są duże .
VERB+NOUN	otrzymała	otrzymać	2	doniesienia	doniesienie	3	otrzymała doniesienia	otrzymać doniesienie	Wcześniej policja otrzymała doniesienia , że Polacy wymuszali haracz w wysokości 150 tys . lirów ( około 100 dolarów ) jednorazowo od sprzedawców polskich gazet na placu Garibaldiego i od przewoźników na trasie Polska - Włochy .
PRON+VERB	się	się	5	zdawało	zdawać	6	się zdawało	się zdawać	Początkowa sytuacja była , jak się zdawało , niezwykle jasna .
VERB+PRON	okazała	okazać	7	się	się	8	okazała się	okazać się	"Kampania reklamowa piwa bezalkoholowego "" Bosman "" okazała się najlepsza na IX Ogólnopolskim i Międzynarodowym Festiwalu Filmu Reklamowego i Reklamy ."
VERB+NOUN	zagwarantować	zagwarantować	5	produkcję	produkcja	6	zagwarantować produkcję	zagwarantować produkcja	BWB obiecują , że mogą zagwarantować produkcję wody znacznie przewyższającej normy obowiązujące w Unii Europejskiej .
VERB+NOUN	ma	mieć	3	wyrzuty	wyrzut	4	ma wyrzuty	mieć wyrzut	Lewica za Dzierżyńskiego ma wyrzuty sumienia .
VERB+ADP	stanął	stanąć	7	na	na	8	stanął na	stanąć na	Aż do tego dnia , gdy ON stanął na jej drodze .
VERB+ADP	wyszły	wyjść	3	na	na	4	wyszły na	wyjść na	Po krótkim dochodzeniu wyszły na jaw związki z kradzieżą rzeźb dokonaną w styczniu z kościoła w Limanowej .
VERB+PRON	zgodził	zgodzić	19	się	się	20	zgodził się	zgodzić się	Nie poinformowano również polskiej ambasady , gdy 19 marca aresztowano go po raz drugi , mimo że krasnojarski prokurator zgodził się , by przedsiębiorca odpowiadał z wolnej stopy .
VERB+ADP	odpowiadał	odpowiadać	24	z	z	25	odpowiadał z	odpowiadać z	Nie poinformowano również polskiej ambasady , gdy 19 marca aresztowano go po raz drugi , mimo że krasnojarski prokurator zgodził się , by przedsiębiorca odpowiadał z wolnej stopy .
ADJ+NOUN	wolnej	wolny	26	stopy	stopa	27	wolnej stopy	wolny stopa	Nie poinformowano również polskiej ambasady , gdy 19 marca aresztowano go po raz drugi , mimo że krasnojarski prokurator zgodził się , by przedsiębiorca odpowiadał z wolnej stopy .
VERB+PRON	zdecyduj	zdecydować	6	się	się	7	zdecyduj się	zdecydować się	- Przed spotkaniem z wybraną osobą zdecyduj się , czy powiesz to , co masz o sobie powiedzieć z własnej inicjatywy ( sam poruszając temat ) , czy poczekasz na nadarzającą się okazję ( obie wersje są dobre ) .
VERB+ADP	staną	stanąć	2	na	na	3	staną na	stanąć na	Zanim jednak staną na ślubnym kobiercu , podpiszą umowę , według której w przypadku rozwodu każde z nich zachowa prawo do swojego majątku .
ADJ+NOUN	ślubnym	ślubny	4	kobiercu	kobierzec	5	ślubnym kobiercu	ślubny kobierzec	Zanim jednak staną na ślubnym kobiercu , podpiszą umowę , według której w przypadku rozwodu każde z nich zachowa prawo do swojego majątku .
VERB+NOUN	podpiszą	podpisać	7	umowę	umowa	8	podpiszą umowę	podpisać umowa	Zanim jednak staną na ślubnym kobiercu , podpiszą umowę , według której w przypadku rozwodu każde z nich zachowa prawo do swojego majątku .
VERB+PRON	boi	bać	1	się	się	2	boi się	bać się	Podobno boi się Pan latać ?
VERB+PRON	starając	starać	8	się	się	9	starając się	starać się	Po bombardowaniach wojsko przeczesuje dom po domu , starając się odnaleźć porwanego w niedzielę swego kolegę , Gilada Shalita .
VERB+PRON	wybiera	wybierać	4	się	się	5	wybiera się	wybierać się	Potem z trzema koleżankami wybiera się do centrum miasta .
VERB+PRON	decyduje	decydować	14	się	się	15	decyduje się	decydować się	"Wracają stare , słowiańskie ( i nie tylko ) imiona i coraz więcej rodziców decyduje się dać swoim pociechom te "" zapomniane "" : Sławomir , Stanisław , Antoni , Karol , Krystyna , Barbara , Izabela , Ewa ."
VERB+PRON	zajmuje	zajmować	16	się	się	17	zajmuje się	zajmować się	Urząd Patentowy i Odwoławczy Sąd Patentowy badają zagadnienia związane z przyznaniem patentu , natomiast ten sąd zajmuje się sporami na tle naruszeń lub unieważnienia patentu .
NOUN+PRON	odwołania	odwołanie	6	się	się	7	odwołania się	odwołanie się	Teoretycznie istnieje tu ogólne prawo do odwołania się , w ostatniej instancji do rządu .
VERB+NOUN	podjęto	podjąć	13	decyzję	decyzja	14	podjęto decyzję	podjąć decyzja	Po przybyciu na miejsce policjantów z grupy rozpoznania minersko - pirotechnicznego Kompanii Antyterrorystycznej podjęto decyzję o ewakuacji mieszkańców sąsiednich domów .
VERB+PRON	Wywiązała	wywiązać	0	się	się	1	Wywiązała się	wywiązać się	Wywiązała się krótka szamotanina .
VERB+PRON	SKONCENTROWAĆ	skoncentrować	20	SIĘ	się	21	SKONCENTROWAĆ SIĘ	skoncentrować się	NIE PRZESZKADZA MI MIESZANIE , WYRZUCANIE PEWNYCH SCEN , DODAWANIE CZEGOŚ INNEGO , NAJWAŻNIEJSZE JEST DLA MNIE TO , BY SKONCENTROWAĆ SIĘ nan TEKŚCIE SZEKSPIRA , nan JEGO SKOŃCZONYCH , DOSKONAŁYCH WYPOWIEDZIACH .
VERB+NOUN	przeprowadziła	przeprowadzić	3	kontrolę	kontrola	4	przeprowadziła kontrolę	przeprowadzić kontrola	Państwowa Inspekcja Pracy przeprowadziła kontrolę , ale w protokole pokontrolnym nie znalazło się wyjaśnienie satysfakcjonujące związkowców .
VERB+PRON	znalazło	znaleźć	11	się	się	12	znalazło się	znaleźć się	Państwowa Inspekcja Pracy przeprowadziła kontrolę , ale w protokole pokontrolnym nie znalazło się wyjaśnienie satysfakcjonujące związkowców .
VERB+ADP	zajść	zajść	9	w	w	10	zajść w	zajść w	Ale prezenterka nie wiedziała , kiedy miałaby miała by zajść w ciążę , bo to mogło pokrzyżować jej plany zawodowe .
VERB+PRON	udało	udać	1	się	się	2	udało się	udać się	Nie udało się im rozwinąć transparentów .
PRON+VERB	się	się	16	zlituje	zlitować	17	się zlituje	się zlitować	Proponuję wszystkim turystom założyć w tym miejscu obozy przejściowe i czekać : 1 . aż ktoś się zlituje i ten zakaz przejścia zdejmie ; 2 . aż to - to zbutwieje z starości i samo się przewróci .
VERB+ADP	będzie	być	4	w	w	5	będzie w	być w	- Ilekroć pan minister będzie w stanie wykonać cięcia budżetowe i przesunąć te pieniądze na służbę zdrowia , to będziemy popierać z entuzjazmem - mówi Rokita .
ADJ+PRON	ubiegającymi	ubiegać	12	się	się	13	ubiegającymi się	ubiegać się	Niektórzy kandydaci do wyborów podchodzić będą spokojnie , bo albo są jedynymi ubiegającymi się o mandat radnego w swoim okręgu ( co w praktyce oznacza , że już mogą się z niego cieszyć ) , albo nie mają żadnych konkurentów w staraniach o fotel wójta lub burmistrza gminy .
VERB+NOUN	Oddał	oddać	0	hołd	hołd	1	Oddał hołd	oddać hołd	Oddał hołd powstańcom warszawskim , m.in . pod Pomnikiem Powstania Warszawskiego i Małego Powstańca .
VERB+NOUN	zwołano	zwołać	3	posiedzenie	posiedzenie	4	zwołano posiedzenie	zwołać posiedzenie	W tym celu zwołano posiedzenie Sejmowej Komisji Skarbu , Uwłaszczenia i Prywatyzacji .
VERB+PRON	udano	udać	1	się	się	2	udano się	udać się	Następnie udano się na osiedle Planty zbudowane dla pracowników przez dyrektora Kazimierza Ołdakowskiego .
PART+VERB	Nie	nie	0	ma	mieć	1	Nie ma	nie mieć	Nie ma co udawać - akurat polską prawicą gardził wyjątkowo .
NOUN+ADP	wejścia	wejść	4	w	w	5	wejścia w	wejść w	Im starsza w dniu wejścia w życie reformy była osoba , tym wyższy będzie jej kapitał początkowy .
PRON+NOUN	sobie	siebie	6	sprawy	sprawa	7	sobie sprawy	siebie sprawa	Monika : Nie zdawałam zdawała m sobie sprawy , że to jest takie ważne - żeby osoby pomagające alkoholikom były do nich przyjaźnie nastawione .
VERB+ADP	weszło	wejść	3	w	w	4	weszło w	wejść w	Z nowym rokiem weszło w życie nowe prawo dewizowe .
PRON+VERB	się	się	37	wypowiedzieć	wypowiedzieć	38	się wypowiedzieć	się wypowiedzieć	Wszystkie brudy w polskiej piłce zaczęły się jednak w latach 70 . ( mógł by coś o tym powiedzieć Zbigniew Boniek ) , przechodziły bez większego echa w latach 80 . ( na ten temat mogli by się wypowiedzieć Michał Listkiewicz i Eugeniusz Kolator ) i trwają do dziś .
NOUN+ADJ	zabójstwo	zabójstwo	4	popełnione	popełnić	5	zabójstwo popełnione	zabójstwo popełnić	Sąd przyjął , że zabójstwo popełnione zostało z motywów społecznych i politycznych , gdyż Chaskielewicza znano jako zwolennika ustroju komunistycznego i czyn swój popełnił z powodu wrogiego nastawienia do państwa i armii .
VERB+NOUN	podnosi	podnosić	11	głos	głos	12	podnosi głos	podnosić głos	- Nie spocznę , dopóki syn nie zostanie oczyszczony ! - podnosi głos Bogdan Konstanty .
VERB+PRON	bój	bać	1	się	się	2	bój się	bać się	Nie bój się , nie sposób jest przechwalić dziecko , a chwalenie nie ma nic wspólnego z rozpieszczaniem .
VERB+PRON	ciągnie	ciągnąć	3	się	się	4	ciągnie się	ciągnąć się	Tylko od frontu ciągnie się szeroka aleja , jakby stworzona dla kolumny czołgów . . .
VERB+PRON	Wydawało	wydawać	0	się	się	1	Wydawało się	wydawać się	Wydawało się , że jej życie dobiegnie końca bez większych niespodzianek .
VERB+PRON	bawili	bawić	5	się	się	6	bawili się	bawić się	W sobotni wieczór uczestnicy festynu bawili się na zabawie tanecznej .
SCONJ+NOUN	jak	jak	2	ognia	ogień	3	jak ognia	jak ogień	Pani sędzia jak ognia unika dziennikarzy .
VERB+PRON	zgodzili	zgodzić	11	się	się	12	zgodzili się	zgodzić się	Do tego czasu postanowiono poskładać wszystko do kilku skrzyń , które zgodzili się przechować u siebie w szopie Jonesowie i ich najbliźsi sąsiedzi , Carrowie .
VERB+PRON	wydaje	wydawać	25	się	się	26	wydaje się	wydawać się	Policjanci zastrzelili mężczyznę , który staranował dwóch funkcjonariuszy w punkcie kontrolnym ustanowionym po zamachu w centrum Barcelony , ale - jak później podano - nie wydaje się aby miał on związek z atakiem na Las Ramblas .
VERB+PRON	upominał	upominać	10	się	się	11	upominał się	upominać się	"Według nieoficjalnych informacji "" Gazety "" Trybunał , który wielokrotnie upominał się o prawa emerytów , podobnie postąpi i tym razem ."
VERB+PRON	udało	udać	3	się	się	4	udało się	udać się	"Żadnej partii nie udało się opanować "" Solidarności "" ."
VERB+PRON	staje	stawać	2	się	się	3	staje się	stawać się	Trąba zaś staje się w tych sprawach podstawowym kierunkowskazem .
VERB+PRON	staje	stawać	9	się	się	10	staje się	stawać się	Po bokach przeszkód następuje pogrubianie moreny dennej , a staje się ona cieńsza nad kulminacjami przeszkód .
ADJ+NOUN	spowodowane	spowodować	11	starzeniem	starzeć	12	spowodowane starzeniem	spowodować starzeć	Ponieważ w przyszłości prognozowane jest zmniejszenie się liczebności siły roboczej , spowodowane starzeniem się społeczeństwa , prawdopodobnie wskaźnik waloryzacji kont w dalszej perspektywie będzie niższy od wzrostu przeciętnego wynagrodzenia .
PRON+VERB	się	się	2	śniło	śnić	3	się śniło	się śnić	Ani mu się śniło opowiadać o słonecznej wiośnie .
PRON+VERB	się	się	1	opłaca	opłacać	2	się opłaca	się opłacać	Południowcom się opłaca , a polskie firmy zarabiają - mówi Alojzy Pilich , kierownik handlowy spółdzielni .
VERB+PRON	zachowywał	zachowywać	6	się	się	7	zachowywał się	zachowywać się	Tym razem Polak walczył czysto , zachowywał się w ringu jak dżentelmen .
ADV+ADJ	niemile	niemile	5	widziane	widzieć	6	niemile widziane	niemile widzieć	W takich grupach zmiany są niemile widziane , bo demaskują grupę jako omylną .
VERB+NOUN	złożył	złożyć	6	doniesienie	doniesienie	7	złożył doniesienie	złożyć doniesienie	W grudniu 97 Komitet Wierzycieli MAAD złożył doniesienie karne przeciwko biznesmenowi i parlamentarzyście w poznańskiej Prokuraturze Wojewódzkiej .
VERB+PRON	zrobiło	zrobić	5	się	się	6	zrobiło się	zrobić się	Z czasem nawet z sąsiadami zrobiło się na dystans , od kiedy w 1998 r . gazety napisały , że mieszkanie córce kupiła Chim za pieniądze ukradzione z FOZZ .
VERB+NOUN	miał	mieć	2	powierzchnię	powierzchnia	3	miał powierzchnię	mieć powierzchnia	Magazyn będzie miał powierzchnię 42 tys . m kw .
VERB+PRON	ciągnęły	ciągnąć	13	się	się	14	ciągnęły się	ciągnąć się	Przed i za kolumną biły duże wodotryski ; na prawo i na lewo ciągnęły się już żółknące kępy drzew jak ogrody ; w głębi widać było rzekę , nad którą co chwilę rozsnuwał się dym szybko przelatującego parostatku .
VERB+PRON	Pojawił	pojawić	0	się	się	1	Pojawił się	pojawić się	Pojawił się już podczas spotkania w moim domu .
NOUN+VERB	akcję	akcja	1	przeprowadzono	przeprowadzić	2	akcję przeprowadzono	akcja przeprowadzić	Podobną akcję przeprowadzono w czasie wojny w Zatoce Perskiej w 1990 r .
VERB+NOUN	stoczyli	stoczyć	10	bitwę	bitwa	11	stoczyli bitwę	stoczyć bitwa	Tu kwaterował po bitwie pod Szczekocinami Kościuszko , tu też stoczyli bitwę z wojskami carskimi powstańcy 1863 .
VERB+PRON	odwoływano	odwoływać	14	się	się	15	odwoływano się	odwoływać się	"Do św . Wojciecha , zwanego przez Kadłubka "" Najświętszym Patronem Polaków "" , odwoływano się w trudnych dla państwa i Kościoła chwilach ."
VERB+PRON	wprowadzić	wprowadzić	9	się	się	10	wprowadzić się	wprowadzić się	Bo gdy został proboszczem , nie pozwolił radzie parafialnej wprowadzić się procesją do plebanii i kościoła .
VERB+PRON	dowie	dowiedzieć	2	się	się	3	dowie się	dowiedzieć się	O wszystkim dowie się po powrocie .
VERB+PRON	pojawili	pojawić	8	się	się	9	pojawili się	pojawić się	Jak już informowali śmy , sprawcy , którzy pojawili się na barcińskim cmentarzu , uszkodzili około 90 płyt nagrobnych odrywając z nich ozdobne litery wykonane z mosiądzu oraz wyrywając z krzyży pasyjki .
ADJ+NOUN	pomocnej	pomocny	25	dłoni	dłoń	26	pomocnej dłoni	pomocny dłoń	"Samorządowcy znają realia , a ponadto czytali w "" NIE "" ( nr 14 / 94 ) , że są kobiety , do których zamiast pomocnej dłoni Fundacja wyciągnęła piąchę ."
NOUN+PRON	żarty	żart	18	sobie	siebie	19	żarty sobie	żart siebie	– Ja ci tutaj mówię coś , co może ci się w życiu twem przydać , a ty żarty sobie stroisz .
