type	first_word	second_word
NOUN+NOUN	Dyrektor	Biblioteki
NOUN+ADJ	Biblioteki	Jagiellońskiej
ADP+NOUN	z	sygnaturami
NOUN+NOUN	sygnaturami	Biblioteki
NOUN+ADJ	Biblioteki	Pruskiej
VERB+NOUN	odzyskała	policja
ADP+NOUN	z	Biblioteki
NOUN+ADJ	Biblioteki	Jagiellońskiej
ADP+NOUN	w	świecie
ADP+NOUN	od	polowań
ADJ+NOUN	góralskiej	kapeli
ADP+NOUN	do	wagonu
ADP+NOUN	w	przejściu
ADP+NOUN	na	konduktora
ADP+NOUN	o	niebezpieczeństwie
NOUN+ADJ	niebezpieczeństwie	związanym
ADP+NOUN	ze	wskakiwaniem
ADP+NOUN	do	pociągu
ADP+NOUN	w	biegu
NOUN+ADJ	Prokuratura	Rejonowa
ADP+NOUN	od	wyroku
ADP+NOUN	do	Sądu
NOUN+ADJ	Sądu	Okręgowego
VERB+PRON	uzasadniając	to
NOUN+NOUN	obrazą	przepisów
NOUN+NOUN	przepisów	postępowania
ADJ+NOUN	bezpieczną	aborcję
ADJ+NOUN	Jedna	osoba
NOUN+VERB	osoba	zmarła
VERB+PRON	zatruło	się
ADJ+NOUN	niewiadomego	pochodzenia
ADJ+NOUN	solidarnościowego	projektu
NOUN+NOUN	projektu	konstytucji
ADJ+PRON	opracowującej	go
ADJ+NOUN	sejmowe	rozstrzygnięcie
ADP+NOUN	do	Sejmu
ADJ+NOUN	jasną	interpretację
ADJ+NOUN	zawiłych	przepisów
NOUN+NOUN	przepisów	ustawy
ADP+NOUN	o	imprezach
NOUN+ADJ	imprezach	masowych
VERB+PRON	znaczy	to
ADP+NOUN	ze	sportu
ADJ+NOUN	jednoosobowych	spółek
NOUN+NOUN	spółek	Agencji
ADP+NOUN	na	zlecenie
ADJ+NOUN	sejmowej	Komisji
NOUN+NOUN	Komisji	Rolnictwa
NOUN+NOUN	Rozwoju	Wsi
NOUN+VERB	nastolatka	mogła
ADJ+NOUN	inne	osoby
ADJ+NOUN	Stary	pan
NOUN+NOUN	konstruktorem	zegarów
VERB+PRON	dopuszczają	ich
VERB+PRON	wydając	im
NOUN+NOUN	certyfikaty	moralności
ADP+NOUN	z	elementów
NOUN+ADJ	reformy	podjęte
ADP+NOUN	w	kraju
VERB+NOUN	wzmocni	Unię
ADP+NOUN	W	kuchni
VERB+NOUN	przynosiła	jarzyny
ADP+NOUN	z	placu
NOUN+ADJ	placu	targowego
VERB+PRON	dokarmiały	się
NOUN+ADJ	odpadkami	kuchennymi
ADJ+NOUN	niewidzialna	ręka
NOUN+NOUN	ręka	rynku
ADJ+NOUN	nowe	lampy
ADJ+NOUN	sąsiedniego	bloku
ADJ+NOUN	Biała	prawica
ADJ+NOUN	nadmierną	ugodowość
ADJ+NOUN	rządzącej	Partii
NOUN+ADJ	Partii	Narodowej
VERB+PRON	Dołączę	się
ADP+NOUN	do	głosu
NOUN+VERB	smarkacz	wypisuje
VERB+NOUN	pomagać	biednym
NOUN+NOUN	Ufundowanie	muzeum
ADP+NOUN	dla	zbiorów
ADJ+NOUN	naturalnym	odruchem
NOUN+NOUN	odruchem	obywatela
NOUN+NOUN	miłośnika	sztuki
NOUN+VERB	czasie	wyprostował
VERB+PRON	wyprostował	się
NOUN+NOUN	rozmiary	chmury
NOUN+ADJ	chmury	płynącej
ADJ+PRON	płynącej	sobie
ADP+NOUN	po	niebie
ADP+NOUN	na	wysokości
ADP+NOUN	na	przykład
VERB+NOUN	rzuci	cienia
ADP+NOUN	na	ziemię
NOUN+NOUN	grupa	bydgoszczan
ADP+NOUN	w	spotkaniu
VERB+NOUN	wyjaśnić	gospodarzom
ADP+NOUN	między	bezpieczeństwem
NOUN+NOUN	służbą	bezpieczeństwa
NOUN+NOUN	dyrektor	Forum
ADP+NOUN	o	wysiedleniach
ADJ+NOUN	indyjskiego	samolotu
NOUN+ADJ	separatyści	kaszmirscy
ADP+NOUN	z	więzienia
ADJ+NOUN	pakistańskiej	części
ADJ+NOUN	indyjscy	dyplomaci
NOUN+VERB	Islam	zakazuje
VERB+NOUN	zakazuje	przemocy
ADP+NOUN	w	sytuacjach
NOUN+ADJ	sytuacjach	towarzyskich
VERB+NOUN	piję	alkoholu
ADP+NOUN	na	wieży
ADP+NOUN	z	badaczy
VERB+NOUN	powiedział	dziennikarzom
ADP+NOUN	na	innych
ADP+NOUN	w	gronie
NOUN+NOUN	gronie	laureatów
ADJ+NOUN	łatwe	zadanie
VERB+PRON	Wsparł	go
VERB+NOUN	zobaczyć	świat
ADJ+NOUN	1	kwietnia
ADJ+NOUN	kolejnej	podwyżki
NOUN+NOUN	podwyżki	cen
NOUN+NOUN	cen	znaczków
NOUN+NOUN	rodzaje	listów
NOUN+VERB	prezydent	może
ADP+NOUN	z	aktorką
NOUN+VERB	niekatolicy	muszą
ADP+NOUN	na	jedzenie
ADP+NOUN	w	piątki
VERB+NOUN	będzie	wojna
VERB+PRON	Namierzyli	ich
NOUN+VERB	Chłopcy	stoją
ADP+NOUN	Po	powrocie
ADP+NOUN	do	domu
VERB+PRON	stać	mnie
ADP+NOUN	na	zakup
ADP+NOUN	pod	względem
NOUN+NOUN	względem	zabytków
NOUN+NOUN	centrum	biznesu
VERB+PRON	podochociwszy	sobie
ADP+NOUN	W	relacji
ADP+NOUN	z	urodzin
VERB+NOUN	oświadczył	prezydentowi
ADP+NOUN	w	prezencie
ADP+NOUN	prócz	szabli
VERB+PRON	przynosi	mu
NOUN+NOUN	głowę	aferzysty
VERB+PRON	Wiążą	się
NOUN+NOUN	problem	Centrum
ADP+NOUN	przeciw	Wypędzeniom
NOUN+NOUN	kwestia	rurociągu
ADP+NOUN	na	dnie
ADJ+NOUN	leśnej	drodze
NOUN+VERB	drodze	zaatakował
VERB+PRON	zaatakował	ją
NOUN+VERB	prasa	donosi
ADP+NOUN	na	ukończeniu
NOUN+NOUN	gmach	telefonów
NOUN+ADJ	telefonów	warszawskich
ADP+NOUN	przy	ulicy
NOUN+ADJ	ulicy	Zielnej
NOUN+NOUN	drapaczem	chmur
ADJ+NOUN	olbrzymim	kamieniu
ADP+NOUN	na	skraju
ADP+NOUN	z	rzeźbą
ADJ+NOUN	podobne	pochylenie
NOUN+NOUN	pochylenie	głowy
ADJ+NOUN	zgarbionych	pleców
VERB+NOUN	przedłużyć	okres
NOUN+ADJ	okres	przejściowy
ADP+NOUN	dla	nauczycieli
NOUN+ADJ	nauczycieli	mianowanych
VERB+PRON	Zabiegł	mu
ADP+NOUN	przed	kupcem
ADP+NOUN	w	nocy
NOUN+NOUN	rzecznik	praw
NOUN+ADJ	praw	obywatelskich
ADJ+NOUN	Wstępne	wyniki
NOUN+NOUN	wyniki	dochodzenia
ADP+NOUN	w	styczniu
ADJ+NOUN	przyszłego	roku
NOUN+ADJ	przejścia	granicznego
ADP+NOUN	dla	aut
VERB+NOUN	mówi	burmistrz
VERB+NOUN	przepuściła	okazję
ADJ+NOUN	młodego	mężczyznę
VERB+NOUN	niszczą	opakowania
NOUN+ADJ	artykuły	spożywcze
VERB+NOUN	powodując	obniżenie
NOUN+NOUN	obniżenie	wartości
NOUN+ADJ	wartości	handlowej
NOUN+VERB	uszkodzenia	pogłębiła
NOUN+ADJ	Sztuka	indyjska
ADJ+NOUN	ludzką	seksualność
ADJ+NOUN	groźny	pomruk
NOUN+VERB	pomruk	usłyszał
NOUN+VERB	lwy	zwęszyły
ADP+NOUN	w	puszczy
ADJ+NOUN	jednej	strony
VERB+PRON	wyizolowali	się
ADJ+NOUN	kolejny	raz
ADJ+NOUN	chorobliwy	brak
NOUN+NOUN	brak	poczucia
NOUN+NOUN	poczucia	odpowiedzialności
NOUN+VERB	Kolegom	przedstawia
VERB+PRON	przedstawia	ją
ADJ+NOUN	nowe	buty
VERB+PRON	zatrzymała	mnie
NOUN+VERB	kierowca	zdążył
VERB+NOUN	zamówić	piwo
ADP+NOUN	po	wnętrzu
NOUN+VERB	drzwi	otwarły
VERB+PRON	otwarły	się
ADP+NOUN	z	hukiem
ADJ+NOUN	nieopisanego	wrzasku
ADP+NOUN	do	szynku
NOUN+VERB	szynku	wpadła
VERB+NOUN	wpadła	gromada
NOUN+NOUN	gromada	dziwolągów
ADP+NOUN	przez	mężczyznę
ADJ+NOUN	kraciastej	oprychówce
ADP+NOUN	ponad	głowami
NOUN+NOUN	głowami	kalek
NOUN+VERB	razy	ścigali
VERB+PRON	ścigali	się
ADP+NOUN	na	rowerach
ADP+NOUN	na	ścianie
ADP+NOUN	na	stoliku
NOUN+NOUN	podłożenia	ładunku
VERB+NOUN	mówią	policjanci
NOUN+NOUN	Unia	Wolności
VERB+NOUN	rozparcelowała	Ministerstwo
NOUN+NOUN	Ministerstwo	Spraw
NOUN+ADJ	Spraw	Wewnętrznych
ADJ+NOUN	samodzielnych	bytów
ADJ+NOUN	całym	oprzyrządowaniem
NOUN+NOUN	Większość	pielgrzymów
NOUN+ADJ	pielgrzymów	jadących
ADP+NOUN	do	sanktuarium
NOUN+ADJ	sanktuarium	maryjnego
ADJ+NOUN	dużą	prędkością
NOUN+VERB	prędkością	wjechał
ADP+NOUN	na	skrzyżowanie
ADP+NOUN	z	rondem
ADP+NOUN	w	okolicach
NOUN+VERB	przemysł	wszedł
ADP+NOUN	w	posiadanie
ADJ+NOUN	olbrzymich	terenów
NOUN+NOUN	terenów	miasta
NOUN+VERB	terenu	zająć
ADP+NOUN	za	jeleniem
ADJ+NOUN	zgubionego	wątku
NOUN+ADJ	poszukiwaniom	światopoglądowym
NOUN+ADJ	dokonaniom	twórczym
VERB+NOUN	uwierzyć	znajomemu
NOUN+ADJ	dziecku	mówiącego
ADP+NOUN	do	pani
VERB+PRON	kocham	cię
NOUN+VERB	ofertę	przedstawiły
VERB+NOUN	przedstawiły	szkoły
NOUN+ADJ	szkoły	turystyczne
NOUN+VERB	kandydaci	mogli
ADP+NOUN	na	miejscu
NOUN+VERB	miejscu	uzyskać
ADJ+NOUN	istotne	informacje
ADP+NOUN	W	wypadku
NOUN+NOUN	wypadku	odmowy
ADJ+NOUN	inny	termin
ADP+NOUN	dla	firmy
NOUN+VERB	Malarz	chwycił
VERB+PRON	chwycił	go
ADP+NOUN	za	ramię
VERB+NOUN	narzekają	chłopcy
ADJ+NOUN	kępickiego	osiedla
ADP+NOUN	w	stronę
VERB+NOUN	daj	pogoni
ADP+NOUN	od	porzucenia
NOUN+NOUN	porzucenia	projektu
NOUN+NOUN	projektu	konstytucji
ADP+NOUN	poprzez	próby
NOUN+NOUN	próby	ratyfikowania
NOUN+NOUN	ratyfikowania	tekstu
ADJ+NOUN	obecnej	formie
ADJ+NOUN	bieżącej	wersji
ADJ+NOUN	obecnego	tekstu
ADJ+NOUN	gruntowne	przeredagowanie
NOUN+NOUN	przeredagowanie	tekstu
ADP+NOUN	w	rezolucji
ADJ+NOUN	olejne	pejzaże
ADJ+NOUN	Białego	Domu
ADJ+NOUN	przekazane	inspektorom
ADP+NOUN	Po	powrocie
ADP+NOUN	o	sprowadzenie
NOUN+NOUN	sprowadzenie	syna
ADP+NOUN	do	kraju
ADP+NOUN	pod	nawisem
VERB+PRON	oberwało	się
ADP+NOUN	W	poniedziałek
ADP+NOUN	według	słów
NOUN+NOUN	słów	burmistrza
VERB+PRON	uprawomocni	się
ADP+NOUN	Na	kolację
ADP+NOUN	oprócz	gulaszu
VERB+NOUN	był	chleb
ADP+NOUN	do	masła
NOUN+VERB	masła	dodano
VERB+NOUN	dodano	nóż
ADP+NOUN	W	przypadku
ADJ+NOUN	ostatni	miesiąc
NOUN+NOUN	miesiąc	roku
NOUN+ADJ	roku	obrachunkowego
ADJ+NOUN	tegorocznej	średniej
NOUN+VERB	Dzidzia	mordowała
VERB+PRON	mordowała	mnie
ADJ+NOUN	duże	ilości
NOUN+NOUN	ilości	leków
ADJ+NOUN	uniesionymi	zasłonami
ADJ+NOUN	rozległego	łoża
ADP+NOUN	z	trudem
ADP+NOUN	w	powodzi
NOUN+NOUN	powodzi	koronek
ADJ+NOUN	pomarszczoną	twarz
NOUN+NOUN	twarz	pani
ADP+NOUN	za	miastem
NOUN+VERB	miastem	wpada
ADJ+NOUN	regularny	rytm
ADP+NOUN	w	stronę
ADJ+NOUN	leśnej	drogi
ADP+NOUN	w	las
VERB+NOUN	zbierać	poziomki
ADJ+NOUN	mrówczy	kopiec
ADP+NOUN	z	patyczków
ADJ+NOUN	sosnowych	igieł
VERB+NOUN	wytyczać	komnaty
NOUN+NOUN	komnaty	pałacu
ADJ+NOUN	młodymi	brzózkami
ADP+NOUN	do	egzaminu
ADP+NOUN	z	szefem
ADJ+NOUN	warszawskie	osiedla
VERB+NOUN	powołać	rady
NOUN+NOUN	rady	mieszkańców
VERB+NOUN	ma	narodu
ADP+NOUN	na	rozprawie
VERB+NOUN	uległy	presji
ADP+NOUN	dzięki	pobudzaniu
NOUN+NOUN	pobudzaniu	punktu
VERB+NOUN	osuszyć	butelkę
ADJ+NOUN	wyborczego	szampana
ADP+NOUN	w	nocy
ADP+NOUN	do	sali
ADJ+NOUN	Dziwnej	kompanii
ADP+NOUN	naprzeciw	kina
VERB+NOUN	zmniejszyć	rozmiary
NOUN+NOUN	rozmiary	porażki
ADJ+NOUN	82	minucie
ADP+NOUN	z	rzutu
NOUN+ADJ	rzutu	wolnego
VERB+NOUN	trafił	piłką
ADP+NOUN	w	słupek
ADJ+NOUN	podejrzanych	szmerów
NOUN+VERB	chłopcy	noszą
VERB+NOUN	noszą	karabiny
VERB+NOUN	popalają	papierosy
VERB+PRON	widzą	ich
NOUN+ADJ	miejsca	parkingowe
VERB+PRON	Zależy	mi
NOUN+ADJ	wolę	polityczną
ADJ+NOUN	samodzielnego	udziału
ADP+NOUN	w	wyborach
NOUN+ADJ	wyborach	parlamentarnych
VERB+NOUN	postraszył	liderów
NOUN+NOUN	liderów	Akcji
ADJ+NOUN	nowy	prezes
VERB+PRON	narzucił	nam
ADJ+NOUN	straszliwe	tempo
NOUN+NOUN	tempo	zwiedzania
ADJ+NOUN	austriackim	czasopismem
ADJ+NOUN	polityczne	zamówienie
NOUN+NOUN	zamówienie	pana
NOUN+NOUN	pana	prezydenta
ADP+NOUN	dla	Kościoła
ADP+NOUN	W	trakcie
NOUN+VERB	rozmowy	wpada
ADJ+NOUN	Tarnobrzescy	policjanci
NOUN+VERB	policjanci	zatrzymali
ADP+NOUN	w	pobliżu
ADJ+NOUN	nielegalnych	emigrantów
ADP+NOUN	z	ludźmi
ADP+NOUN	z	banku
NOUN+VERB	Zwierze	broczyło
VERB+NOUN	broczyło	krwią
ADJ+NOUN	paskudnej	rany
ADP+NOUN	na	podbrzuszu
ADP+NOUN	W	książce
ADP+NOUN	po	sześćdziesiątce
NOUN+VERB	badania	potwierdzają
NOUN+ADJ	człowiek	starszy
ADP+NOUN	dla	partnera
ADP+NOUN	po	brukach
ADJ+NOUN	wykwintne	pojazdy
ADJ+NOUN	ładowne	wozy
VERB+NOUN	załatwiać	interesy
ADP+NOUN	z	dzieckiem
ADP+NOUN	z	rozczuleniem
VERB+NOUN	zniknęły	chorągiewki
ADP+NOUN	od	logistyki
VERB+PRON	uznali	je
ADP+NOUN	za	przeżytek
ADP+NOUN	ze	starości
VERB+NOUN	zabrakło	chętnych
ADP+NOUN	do	wycinania
NOUN+ADJ	wycinania	nowych
ADP+NOUN	na	siłę
ADJ+NOUN	konkretnych	rozwiązań
ADJ+NOUN	własny	wizerunek
NOUN+ADJ	wizerunek	zawodowy
ADJ+NOUN	nowych	ludzi
ADP+NOUN	w	branży
VERB+NOUN	robił	lajwa
VERB+NOUN	pisać	raporty
NOUN+NOUN	Dowódcą	oddziału
NOUN+ADJ	oddziału	powstańczego
ADP+NOUN	w	liście
ADP+NOUN	do	matki
VERB+NOUN	pomóc	dzieciom
VERB+NOUN	oddaje	dowodzenie
ADP+NOUN	w	ręce
ADJ+NOUN	nowe	realia
ADJ+NOUN	Miejskiej	Policji
ADP+NOUN	W	nocy
ADJ+NOUN	12	lipca
ADJ+NOUN	pierwszą	kwadrą
VERB+PRON	Odnalazły	się
ADP+NOUN	do	kraju
VERB+NOUN	ratyfikowała	Konwencji
ADP+NOUN	w	sprawie
ADJ+NOUN	nielegalnego	wywozu
NOUN+NOUN	wywozu	dzieł
NOUN+NOUN	dzieł	sztuki
VERB+NOUN	była	grupa
ADJ+NOUN	inny	szef
NOUN+NOUN	szef	grupy
NOUN+VERB	Ochrona	zatrzymała
ADJ+NOUN	młodych	ludzi
ADJ+NOUN	śródmiejskiej	komendy
VERB+PRON	Wyplątał	się
ADP+NOUN	z	okryć
ADP+NOUN	Na	ławie
NOUN+NOUN	ławie	oskarżonych
ADP+NOUN	Zamiast	szarości
NOUN+VERB	szarości	widzieli
ADJ+NOUN	rajskie	ogrody
ADJ+NOUN	brytyjskich	biskupów
NOUN+NOUN	biskupów	Kościoła
NOUN+ADJ	Kościoła	anglikańskiego
ADP+NOUN	w	okresie
ADJ+NOUN	Wielkiego	Postu
ADP+NOUN	za	płacę
NOUN+ADJ	płacę	minimalną
NOUN+NOUN	resztę	dochodów
ADP+NOUN	na	bezdomnych
ADP+NOUN	na	stację
ADP+NOUN	po	podróżnych
NOUN+NOUN	Kropla	potu
VERB+PRON	ściekła	mu
ADP+NOUN	po	policzku
ADJ+NOUN	czternastoletniej	córce
VERB+PRON	ucieszyła	cię
VERB+NOUN	nadciągają	fala
ADP+NOUN	za	falą
ADP+NOUN	ze	zwycięstwa
ADJ+NOUN	poranną	obecność
ADJ+NOUN	gwarnej	ulicy
NOUN+VERB	Auto	oddaliło
VERB+PRON	oddaliło	się
ADP+NOUN	w	kierunku
ADP+NOUN	na	ślad
ADP+NOUN	w	rozmowach
NOUN+VERB	Bóstwo	wysłuchało
VERB+NOUN	wysłuchało	prośby
ADP+NOUN	o	zesłanie
NOUN+NOUN	zesłanie	mocy
VERB+PRON	Otwierały	się
ADJ+NOUN	największe	tajemnice
NOUN+NOUN	tajemnice	wszechświata
NOUN+VERB	rencistów	czeka
ADJ+NOUN	marcową	waloryzację
NOUN+NOUN	waloryzację	świadczeń
ADJ+NOUN	szacunkowych	danych
NOUN+VERB	danych	wynika
NOUN+NOUN	stopa	bezrobocia
ADP+NOUN	w	kwietniu
NOUN+VERB	kwietniu	wyniosła
ADJ+PRON	dokonującej	się
NOUN+ADJ	rewolucji	informatycznej
NOUN+ADJ	struktury	decyzyjne
ADP+NOUN	w	Unii
NOUN+ADJ	Unii	Europejskiej
ADJ+NOUN	odmiennych	struktur
NOUN+ADJ	struktur	organizacyjnych
ADP+NOUN	w	ciągu
NOUN+NOUN	możliwości	perswazji
ADJ+NOUN	zamierzonego	celu
ADJ+NOUN	kobiecych	atutów
VERB+PRON	umocnią	się
ADP+NOUN	na	rynku
ADJ+PRON	Biedni	my
NOUN+VERB	bosman	zdążył
VERB+NOUN	przygotowali	święto
VERB+PRON	bije	go
ADP+NOUN	w	tył
NOUN+NOUN	tył	głowy
VERB+PRON	rozśmieszył	cię
ADP+NOUN	w	areszcie
ADP+NOUN	w	Radzie
NOUN+ADJ	Radzie	Miejskiej
ADP+NOUN	w	narożniku
ADJ+NOUN	pozbijanych	kawałków
NOUN+NOUN	kawałków	dykty
ADP+NOUN	na	wejście
VERB+NOUN	robię	zimą
ADJ+NOUN	polscy	kierowcy
NOUN+ADJ	kierowcy	zawodowi
ADP+NOUN	przez	Konwencję
NOUN+ADJ	Konwencję	Waszyngtońską
ADJ+NOUN	pełnoprawnym	członkiem
NOUN+NOUN	członkiem	Unii
NOUN+ADJ	Unii	Europejskiej
ADP+NOUN	do	końca
ADP+NOUN	Na	razie
ADJ+NOUN	kolejnych	dzieci
ADP+NOUN	z	ekranu
ADJ+NOUN	delikatnych	wzorów
VERB+NOUN	zalewała	minia
ADP+NOUN	Za	pomocą
NOUN+ADJ	kamer	przemysłowych
NOUN+VERB	inżynierowie	obserwowali
ADP+NOUN	na	parkiecie
ADP+NOUN	w	dyskotece
ADP+NOUN	We	wsi
VERB+NOUN	ma	masażysty
ADP+NOUN	po	obejrzeniu
ADJ+NOUN	pierwszego	montażu
VERB+NOUN	komponować	muzykę
ADP+NOUN	od	rozpoczęcia
ADJ+NOUN	pierwszych	zdjęć
ADP+NOUN	W	czasie
ADP+NOUN	przed	premierą
NOUN+VERB	mama	płacze
ADP+NOUN	ze	zdenerwowania
VERB+NOUN	Potrzebuję	pracy
VERB+PRON	wyjaśniam	mu
ADJ+NOUN	poszczególnych	lodowcach
NOUN+ADJ	warunki	lokalne
ADP+NOUN	do	kampanii
ADP+NOUN	po	punkcie
ADP+NOUN	z	uczniami
ADJ+NOUN	szkolna	pedagog
ADP+NOUN	przed	domem
ADP+NOUN	na	ławeczce
NOUN+ADJ	Deficyt	handlowy
ADJ+NOUN	ubiegły	rok
NOUN+ADJ	razy	większy
NOUN+NOUN	Zdaniem	lekarzy
NOUN+ADJ	szpitale	cierpiące
ADP+NOUN	na	brak
NOUN+NOUN	brak	pieniędzy
ADJ+NOUN	drastyczne	programy
NOUN+ADJ	programy	oszczędnościowe
ADP+NOUN	W	życiu
NOUN+ADJ	życiu	prywatnym
ADJ+NOUN	cały	harem
ADJ+NOUN	młodych	ludzi
VERB+PRON	Zaanektowali	ci
ADJ+NOUN	cała	działka
ADP+NOUN	w	śmieciach
NOUN+ADJ	Cena	wywoławcza
ADJ+NOUN	czarnego	watermana
ADJ+NOUN	złotą	stalówką
ADP+NOUN	o	fikcji
ADJ+NOUN	pierwszej	osoby
VERB+PRON	Stanowi	to
NOUN+NOUN	budżetu	państwa
NOUN+ADJ	sumą	przeznaczaną
ADP+NOUN	na	kulturę
ADJ+NOUN	Górnicze	związki
NOUN+ADJ	związki	zawodowe
ADP+NOUN	wbrew	stanowisku
NOUN+NOUN	stanowisku	resortu
NOUN+NOUN	resortu	gospodarki
NOUN+NOUN	wypłaty	nagród
ADJ+NOUN	ubiegłorocznych	zysków
NOUN+NOUN	zysków	spółek
NOUN+ADJ	spółek	węglowych
ADP+NOUN	na	pukanie
NOUN+VERB	policjanci	wyważyli
VERB+NOUN	wyważyli	drzwi
ADP+NOUN	na	potwierdzenie
ADP+NOUN	przed	sztabem
NOUN+VERB	sztabem	wybuchł
VERB+NOUN	wybuchł	pocisk
VERB+ADP	są	przede
VERB+PRON	urodziła	się
ADJ+NOUN	różnym	towarzystwie
ADJ+NOUN	była	żona
ADP+NOUN	przed	laty
ADP+NOUN	na	spotkanie
ADJ+NOUN	irlandzkimi	władzami
ADP+NOUN	po	drodze
ADJ+NOUN	srebrny	Mercedes
VERB+NOUN	traci	orientację
NOUN+ADJ	bokser	trafiony
ADJ+NOUN	nagłym	sierpem
NOUN+VERB	ekipa	wzdycha
ADJ+NOUN	zły	znak
ADJ+NOUN	pierwsze	ostrzeżenie
VERB+NOUN	miał	kontrkandydata
ADP+NOUN	w	wyścigu
ADP+NOUN	o	fotel
NOUN+NOUN	fotel	przewodniczącego
NOUN+NOUN	przewodniczącego	Platformy
ADP+NOUN	ze	złości
ADP+NOUN	o	wycieczkach
NOUN+NOUN	Domu	Turysty
ADJ+NOUN	dyżurni	ratownicy
NOUN+NOUN	kierownicy	schronisk
ADJ+NOUN	japoński	reżyser
NOUN+ADJ	reżyser	filmowy
ADJ+NOUN	światową	sławę
ADJ+NOUN	historycznemu	filmowi
ADP+NOUN	na	festiwalu
NOUN+ADJ	festiwalu	filmowym
ADP+NOUN	na	brzegu
ADP+NOUN	przez	dziedziniec
NOUN+ADJ	ducha	winne
ADJ+NOUN	winne	kraby
VERB+NOUN	przypłacały	życiem
ADJ+NOUN	inkrustowane	pancerze
ADP+NOUN	do	zbioru
ADJ+NOUN	nieprzyjacielską	fregatę
ADP+NOUN	z	oburzeniem
NOUN+VERB	oburzeniem	dementował
VERB+NOUN	dementował	zarzuty
ADP+NOUN	o	pazerność
VERB+NOUN	pobierał	apanaże
ADP+NOUN	z	tytułu
NOUN+NOUN	prezesowania	spółce
ADJ+NOUN	niebieskie	oczy
ADP+NOUN	z	gniewu
NOUN+VERB	Pan	sądzi
ADP+NOUN	w	pobliżu
VERB+NOUN	naprawić	tłumik
VERB+NOUN	wyregulować	zapłon
NOUN+VERB	wyprawa	przejedzie
NOUN+ADJ	fabryki	automatyczne
NOUN+NOUN	wataha	komputerów
ADJ+NOUN	tajne	sygnały
ADP+NOUN	w	sezonie
NOUN+ADJ	sezonie	zimowym
ADJ+NOUN	Szczyrbskim	Jeziorze
ADJ+NOUN	Łomnickim	Stawie
NOUN+VERB	Zakon	wysłał
ADP+NOUN	pod	wodzą
ADJ+NOUN	byłego	województwa
NOUN+ADJ	województwa	słupskiego
ADP+NOUN	w	prokuraturze
ADP+NOUN	na	życie
NOUN+ADJ	życie	mnisze
NOUN+VERB	Siostra	odbiera
VERB+PRON	odbiera	sobie
NOUN+NOUN	możliwość	bycia
NOUN+NOUN	bycia	matką
ADP+NOUN	w	projekcie
NOUN+NOUN	projekcie	budżetu
ADP+NOUN	na	bezrobotnych
ADP+NOUN	do	obrony
NOUN+ADJ	drogi	wylotowe
ADJ+NOUN	poważniejszych	działaniach
NOUN+ADJ	działaniach	obronnych
VERB+NOUN	Przeglądając	zasoby
ADJ+NOUN	wszelakiego	rodzaju
NOUN+NOUN	rodzaju	informacji
ADJ+NOUN	jedni	użytkownicy
NOUN+VERB	użytkownicy	udostępnili
NOUN+VERB	Papież	bierzmował
ADP+NOUN	w	rodzinie
ADJ+NOUN	ogromne	napięcie
VERB+PRON	planuje	się
ADJ+NOUN	znaczne	ograniczenie
NOUN+NOUN	ograniczenie	wydobycia
ADJ+NOUN	Wstępna	analiza
NOUN+NOUN	analiza	Inspektoratu
ADP+NOUN	do	procesów
ADJ+NOUN	zorganizowanych	grup
NOUN+ADJ	grup	przestępczych
ADP+NOUN	w	końcu
ADJ+NOUN	wieloletnia	przyjaciółka
NOUN+NOUN	przyjaciółka	szefa
ADP+NOUN	z	posłów
VERB+PRON	urodziły	mu
NOUN+ADJ	Kryzys	budżetowy
ADJ+NOUN	najgorszym	stadium
NOUN+VERB	przestępczość	rosła
ADP+NOUN	z	dnia
ADP+NOUN	na	dzień
VERB+NOUN	wzruszał	ramionami
VERB+NOUN	mówiąc	Miastu
NOUN+VERB	Kawa	powinna
VERB+NOUN	kwestionujemy	opłaty
ADP+NOUN	za	prawo
NOUN+NOUN	prawo	jazdy
ADP+NOUN	za	rejestrację
VERB+PRON	burzymy	się
ADP+NOUN	w	kancelarii
NOUN+ADJ	kancelarii	parafialnej
ADP+NOUN	w	sobotę
NOUN+VERB	sobotę	nabroili
VERB+PRON	daję	sobie
ADJ+NOUN	innymi	rodzicami
ADP+NOUN	po	zebraniu
ADJ+NOUN	redakcyjnych	kolegów
ADJ+NOUN	złotych	rad
ADP+NOUN	do	środka
VERB+NOUN	otworzył	drzwi
NOUN+VERB	Związkowcom	zarzuca
VERB+PRON	zarzuca	się
ADP+NOUN	w	lutym
ADP+NOUN	w	Stoczni
ADP+NOUN	w	imieniu
ADP+NOUN	przed	mediami
NOUN+NOUN	przedstawicielami	władz
ADP+NOUN	mimo	działania
NOUN+NOUN	działania	komitetu
NOUN+ADJ	komitetu	strajkowego
ADJ+NOUN	protestującym	pracownikom
ADJ+NOUN	małych	ilościach
NOUN+NOUN	Stowarzyszenie	Filmowców
NOUN+ADJ	Filmowców	Polskich
VERB+PRON	przekształcało	się
ADP+NOUN	w	przybudówkę
NOUN+ADJ	tubę	propagandową
ADJ+NOUN	skrajnego	skrzydła
ADP+NOUN	W	obrębie
VERB+PRON	przemieszczać	się
ADJ+NOUN	Państwowa	Komisja
NOUN+ADJ	Komisja	Wyborcza
ADJ+NOUN	ciężki	dzień
ADP+NOUN	po	zawale
