	type	first_word	first_word_lemma	first_word_id	second_word	second_word_lemma	second_word_id	full_mwe	full_mwe_lemma	sentence
138	PART+VERB	nie	nie	27	ma	mieć	28	nie ma	nie mieć	Bardzo chciałbym chciał by m , żeby interesowano się mną jako artystą , a nie facetem , który żyje sam i przeszkadza co poniektórym tym , że nie ma żony , dwóch kochanek i sześciorga dzieci na boku , o których można by pisać .
139	PART+VERB	nie	nie	14	mają	mieć	15	nie mają	nie mieć	5 ) W takim zestawie świetnie wyglądają osoby niskie i średnie , o ile nie mają krótkiej talii .
140	PART+VERB	nie	nie	4	ma	mieć	5	nie ma	nie mieć	- Pana prezesa jeszcze nie ma .
141	ADP+ADJ	na	na	5	dobre	dobry	6	na dobre	na dobry	- Kiedy impreza rozkręciła się na dobre , ktoś dosypał mi narkotyków do drinka - mówi dziewczyna .
142	SCONJ+NOUN	Co	co	0	do	do	1	Co do	co do	Co do odpowiedzialności politycznej za działalność , to przypomnę jeszcze raz , chociaż pewnie będę musiał jeszcze za moment do tego wrócić , że mówimy o śledztwie , z którego dokumenty i notatki datują się od 25 stycznia 1991 r . do 26 marca 1997 r .
143	NOUN+NOUN	do	do	1	odpowiedzialności	odpowiedzialność	2	do odpowiedzialności	do odpowiedzialność	Co do odpowiedzialności politycznej za działalność , to przypomnę jeszcze raz , chociaż pewnie będę musiał jeszcze za moment do tego wrócić , że mówimy o śledztwie , z którego dokumenty i notatki datują się od 25 stycznia 1991 r . do 26 marca 1997 r .
144	ADP+PRON	w	w	23	sobie	siebie	24	w sobie	w siebie	Gdyby więc Joanna umiała zanalizować różne odmiany kary , musiałaby musiała by dostrzec , że bardziej boi się groźby kary niż kary samej w sobie .
145	PART+VERB	nie	nie	8	chcę	chcieć	9	nie chcę	nie chcieć	- Agatka jest teraz u swoich chrzestnych i nie chcę , by wracała do domu .
146	ADP+NOUN	W	w	0	czasie	czas	1	W czasie	w czas	W czasie hartowania zachodzą zarówno szybkie przemiany biochemiczne w komórkach oraz przebudowują się tkanki , co wymaga dłuższego czasu .
147	ADP+PRON	z	z	12	siebie	siebie	13	z siebie	z siebie	Czułem Czuł em się wspaniale , wiedziałem wiedział em , że wiele z siebie mogę dać innym , i to zarówno tutaj , jak i tam , kiedy już znajdę się w normalnym świecie .
148	PART+VERB	nie	nie	2	mają	mieć	3	nie mają	nie mieć	Ale oni nie mają Balcerowiczów .
149	PART+VERB	nie	nie	1	ma	mieć	2	nie ma	nie mieć	Choć nie ma oficjalnych odwiedzin , mama może spotkać się z rodziną w korytarzu .
150	VERB+PRON	spotkać	spotkać	8	się	się	9	spotkać się	spotkać się	Choć nie ma oficjalnych odwiedzin , mama może spotkać się z rodziną w korytarzu .
151	ADP+NOUN	w	w	21	czasie	czas	22	w czasie	w czas	Trzęsienie ziemi w Chinach , Grecji i Włoszech , śnieżyca w Kanadzie , powódź w Australii , zimno w Bangladeszu - w czasie ostatniego weekendu spowodowały kilkadziesiąt ofiar śmiertelnych .
152	ADP+NOUN	w	w	67	czasie	czas	68	w czasie	w czas	Bez uszczerbku dla praw twórców lub artystów wykonawców , producentowi fonogramu lub wideogramu przysługuje wyłączne prawo do rozporządzania i korzystania z fonogramu lub wideogramu w zakresie : 1 ) zwielokrotniania określoną techniką , 2 ) wprowadzenia do obrotu , 3 ) najmu oraz użyczania egzemplarzy , 4 ) publicznego udostępniania fonogramu lub wideogramu w taki sposób , aby każdy mógł mieć do niego dostęp w miejscu i w czasie przez siebie wybranym .
153	ADP+PRON	ze	z	3	sobą	siebie	4	ze sobą	z siebie	Są to wydarzenia ze sobą powiązane : rodzice decydują za dziecko , że ma być ochrzczone i rodzice decydują za dziecko , że ma chodzić na religię czy do kościoła .
154	VERB+AUX	było	być	32	by	by	33	było by	być by	"Trener kielczan Ryszard Wieczorek na początku desygnował do gry żelazną "" jedenastkę "" na obecną chwilę prawie optymalną , choć kto wie , czy zamiast Przemka Cichonia na lewej obronie nie byłoby było by w wyjściowym składzie Roberta Bednarka ."
155	ADP+NOUN	W	w	0	czasie	czas	1	W czasie	w czas	W czasie trwania Plusa można podnieść za zgodą towarzystwa wysokość sumy ubezpieczenia .
156	PART+VERB	nie	nie	15	chcą	chcieć	16	nie chcą	nie chcieć	A do nas - kraju mlekiem i miodem płynącego - jakoś Ci głupi zniewoleni Amerykanie nie chcą imigrować za chlebem . ;-)))
157	ADP+NOUN	w	w	3	życiu	życie	4	w życiu	w życie	Dziesięć kolejnych lat w życiu Paula Bernardo dowiodło , że tylko w dwóch przypadkach zachowywał się jak przeciętny zakochany mężczyzna .
158	ADP+NOUN	w	w	19	grze	gra	20	w grze	w gra	Reprezentację układa się zatem nie tyle wedle jakości gry na boisku europejskim , co wedle kryteriów , które obowiązują w grze na boisku krajowym .
159	VERB+PRON	skarży	skarżyć	8	się	się	9	skarży się	skarżyć się	- Pana nigdy dobudzić się nie można ; skarży się pan , że przeszkadzamy panu rozmowami , a potem pretensje .
160	ADP+NOUN	W	w	0	czasie	czas	1	W czasie	w czas	W czasie letniego skwaru samochody bywają tak bardzo nagrzane , że z reguły nie wystarcza otwarcie okien , więc kierowcy , o ile nie mają w aucie klimatyzacji , na gwałt poszukują innej możliwości schłodzenia kabiny i najczęściej jest to nawiew , równie nagrzanego powietrza , z dysz w desce rozdzielczej , ale ostrzegam byle nie prosto w twarz , bo nie jednemu zaprószyło w czasie jazdy oczy .
161	PART+VERB	nie	nie	23	mają	mieć	24	nie mają	nie mieć	W czasie letniego skwaru samochody bywają tak bardzo nagrzane , że z reguły nie wystarcza otwarcie okien , więc kierowcy , o ile nie mają w aucie klimatyzacji , na gwałt poszukują innej możliwości schłodzenia kabiny i najczęściej jest to nawiew , równie nagrzanego powietrza , z dysz w desce rozdzielczej , ale ostrzegam byle nie prosto w twarz , bo nie jednemu zaprószyło w czasie jazdy oczy .
162	ADP+NOUN	w	w	64	czasie	czas	65	w czasie	w czas	W czasie letniego skwaru samochody bywają tak bardzo nagrzane , że z reguły nie wystarcza otwarcie okien , więc kierowcy , o ile nie mają w aucie klimatyzacji , na gwałt poszukują innej możliwości schłodzenia kabiny i najczęściej jest to nawiew , równie nagrzanego powietrza , z dysz w desce rozdzielczej , ale ostrzegam byle nie prosto w twarz , bo nie jednemu zaprószyło w czasie jazdy oczy .
163	ADP+PRON	z	z	9	siebie	siebie	10	z siebie	z siebie	Wreszcie , pamiętając o Jurku , wydusiłem wydusił em z siebie : - Może byś by ś został ?
164	PART+VERB	nie	nie	1	widział	widzieć	2	nie widział	nie widzieć	Czy nie widział domów na mapach ?
165	ADP+NOUN	w	w	22	czasie	czas	23	w czasie	w czas	A potem dowiedziałem dowiedział em się , że nie mogę nie pójść na obiad wydawany w restauracji przez znajomego Chenga , bo w czasie ostatniego spotkania znajomy dał mi twarz .
166	ADP+PRON	ze	z	16	sobą	siebie	17	ze sobą	z siebie	Jeśli ktoś spróbuje pogodzić skłócone małżeństwo , mówiąc : ja zdecyduję za was , jak macie ze sobą żyć - zostanie wyśmiany .
167	NOUN+NOUN	Sekcja	sekcja	0	zwłok	zwłoki	1	Sekcja zwłok	sekcja zwłoki	Sekcja zwłok wykazała , że przyczynami zgonu były zakrzepica żyły udowej , zator tętnicy płucnej i niewydolność krążeniowo - oddechowa .
168	ADP+NOUN	w	w	43	życiu	życie	44	w życiu	w życie	Otóż dobra te , jak to wynika z cytowanych dokumentów , od roku 1815 do roku 1835 były własnością jego siostry , Teresy Scypionowej , choć niewątpliwie zostały kupione i zagospodarowane z myślą o nim i jego żonie , czyli dwu najbliższych osobach w życiu tej kobiety .
169	PART+VERB	nie	nie	24	ma	mieć	25	nie ma	nie mieć	No bo jak to : haruje jak koń , pod koniec orkiestrowego finału chrypi z przemęczenia , obraca milionami - i nic z tego nie ma ?
170	ADP+NOUN	w	w	36	czasie	czas	37	w czasie	w czas	ZA kilka dni rozpoczęte zostaną na terenie XIV-wiecznego zamku w Pasłęku pierwsze badania związane z hipotezą olsztyńskiego radiestety Edwarda Trusielewicza , przewidującego , że pod jednym ze skrzydeł warowni ukryta jest stawna Bursztynowa Komnata , wywieziona w czasie wojny przez Niemców z Carskiego Sioła .
171	ADP+NOUN	do	do	9	góry	góra	10	do góry	do góra	Na placach poczęły gromadzić się grupy przechodniów z zadartymi do góry głowami .
172	ADP+NOUN	w	w	6	oczach	oko	7	w oczach	w oko	W biurze rajdu kolejka kierowców topniała w oczach .
173	PART+VERB	nie	nie	12	wiem	wiedzieć	13	nie wiem	nie wiedzieć	"Ja staram się tylko zobrazować to , że same ubooty , choćby nie wiem jak doskonałe , potrzebują wsparcia , a to zapewniały im i te "" maluchy nawodne "" i te kolosy ."
174	ADP+ADV	na	na	11	tyle	tyle	12	na tyle	na tyle	Mimo że zaćmienie osiągnie bardzo dużą fazę , blask Słońca pozostanie na tyle silny , że oglądanie zjawiska okiem nieuzbrojonym będzie niebezpieczne !
175	PART+PART	i	i	35	to	to	36	i to	i to	Szczęściem w perspektywie historycznej nazwałbym nazwał by m okres , kiedy pojawia się przed szerszymi społecznościami , narodami , grupami zawodowymi , zbiorowiskami sąsiadów , rodzinami nadzieja na ziszczenie celów , do jakich się dąży i to nie w sposób egoistyczny .
176	PART+PRON	i	i	5	to	to	6	i to	i to	Dobrze wróży na przyszłość również i to , że do partnerstwa przymierzają się kolejne banki i towarzystwa zarówno majątkowe , jak i życiowe .
177	VERB+AUX	była	być	7	by	by	8	była by	być by	Jeszcze dziesięć lat temu rzecz taka byłaby była by nie do pomyślenia .
178	ADP+PRON	w	w	20	siebie	siebie	21	w siebie	w siebie	Bywa , że dwaj przeciwnicy nagle nieruchomieją , stojąc na wyprostowanych łapach , z nadętymi podgardlami , wpatrują się wzajemnie w siebie i gwałtownie kiwają głowami .
179	NOUN+NOUN	tryb	tryb	4	życia	życie	5	tryb życia	tryb życie	Chaotyczny , pozbawiony planu tryb życia , liczne nieprzemyślane wydatki , składanie obietnic bez pokrycia - to też są pozostałości z poprzedniej epoki .
180	VERB+AUX	było	być	2	by	by	3	było by	być by	Nie byłoby było by w tym być może żadnej sprzeczności , gdyby się przyjęło , że istnieje świadomość nieegotyczna , tj . całkowicie pozbawiona Ja ( taką według Maxa Schelera jest świadomość Boga ) .
181	PART+VERB	nie	nie	7	ma	mieć	8	nie ma	nie mieć	Nawet ci przychylni przyznają jednak , że nie ma cudów - spółce sprzyja zbyt wiele rozmaitych okoliczności , by uznać to wyłącznie za ich przypadkowy zbieg .
182	PART+VERB	nie	nie	2	robię	robić	3	nie robię	nie robić	Ja nic nie robię ?
183	ADP+PRON	za	za	21	sobą	siebie	22	za sobą	za siebie	A może nie obecne , lecz przeszłe , w chorym związku , do którego jedna strona , od samego początku wprowadziła za sobą gruboskórność , fałsz , intrygi , kłamstwo , obłudę i . . . wyrachowanie ?
184	NOUN+VERB	górach	góra	8	jest	być	9	górach jest	góra być	Kinga Baranowska : - Wbrew pozorom wypadków w górach jest bardzo mało .
185	ADP+NOUN	w	w	6	czasie	czas	7	w czasie	w czas	Smolorz powtarzał to sobie kilka razy w czasie jazdy przez miasto .
186	PART+VERB	nie	nie	12	chcąc	chcieć	13	nie chcąc	nie chcieć	Miał już na końcu jeżyka pytanie , ile waży Diglator , ale nie chcąc się blamować ignorancją , wziął latarkę od Gossego i ruszył wzdłuż stopy olbrzyma .
187	ADP+PRON	po	po	5	sobie	siebie	6	po sobie	po siebie	Interlinia - odstęp pomiędzy następującymi po sobie wierszami .
188	DET+NOUN	swoje	swój	10	siły	siła	11	swoje siły	swój siła	Cyklicznie w każdy czwartek każdy chętny , będzie mógł sprawdzić swoje siły i możliwości w biegu , skoku czy rzucie , bez względu na wiek czy płeć .
189	VERB+PRON	stawia	stawiać	18	się	się	19	stawia się	stawiać się	"W związku z przypływem krwi objętość piersi zwiększa się , sutek jędrnieje i unosi się nieco - "" stawia się "" , a brodawka piersiowa twardnieje i zwiększa swoją wrażliwość ."
190	PART+VERB	nie	nie	9	ma	mieć	10	nie ma	nie mieć	"Zakajew powiedział niemieckiemu tygodnikowi "" Fokus "" , że nie ma nic wspólnego z akcją w Moskwie ."
191	DET+NOUN	swą	swój	3	sprawę	sprawa	4	swą sprawę	swój sprawa	Na zimno rozpatrzył swą sprawę , uznał , że jest mocnym , i przyszedł zaaresztować Stefana za to , że sprowadził żołnierzy .
192	ADP+NOUN	w	w	1	czasach	czas	2	w czasach	w czas	"Nawet w czasach stalinizmu powstawały w Polsce komedie , takie jak "" Skarb "" czy "" Przygoda na Mariensztacie "" Leonarda Buczkowskiego , z melodyjnymi piosenkami , które chętnie nucono ."
193	ADP+NOUN	Na	na	0	koniec	koniec	1	Na koniec	na koniec	Na koniec kandyzować mango cukrem .
194	PART+VERB	Nie	nie	1	ma	mieć	2	Nie ma	nie mieć	- Nie ma .
195	PART+VERB	nie	nie	4	ma	mieć	5	nie ma	nie mieć	- W naszej gminie nie ma bowiem przejścia granicznego dla aut - mówi burmistrz Matela .
196	PART+VERB	nie	nie	4	wiem	wiedzieć	5	nie wiem	nie wiedzieć	Ona : - Sama nie wiem dlaczego , ale mam do Mateusza pełne zaufanie .
197	PART+VERB	Nie	nie	0	daj	dać	1	Nie daj	nie dać	Nie daj pogoni się zbliżyć .
198	PART+VERB	nie	nie	3	ma	mieć	4	nie ma	nie mieć	Bez tej ostatniej nie ma narodu .
199	PART+VERB	nie	nie	9	widzą	widzieć	10	nie widzą	nie widzieć	Teraz chłopcy noszą karabiny i popalają papierosy , kiedy nie widzą ich starsi .
200	ADP+PRON	o	o	22	czym	co	23	o czym	o co	"W książce "" Seks po sześćdziesiątce "" , którą napisał wraz z żoną , twierdzi , że badania potwierdzają jedynie to , o czym wiadomo było już od dawna : wiek ma tę cechę , że im człowiek starszy , tym więcej potrafi , wykazuje większe zrozumienie dla partnera , jest też bardziej czuły ."
201	PART+VERB	Nie	nie	0	chciał	chcieć	1	Nie chciał	nie chcieć	Nie chciał .
202	ADJ+AUX	zrobione	zrobić	19	są	być	20	zrobione są	zrobić być	To było to piętro z trojgiem drzwi , choć dopiero teraz zobaczyłem zobaczył em , że te w narożniku zrobione są z byle jak pozbijanych kawałków dykty i wyglądają raczej na wejście do jakiegoś składziku .
203	PART+VERB	nie	nie	2	ma	mieć	3	nie ma	nie mieć	We wsi nie ma masażysty , więc trzeba korzystać z pomocy najbliższych .
204	ADP+NOUN	W	w	0	czasie	czas	1	W czasie	w czas	W czasie prób robiłaś robiła ś wrażenie nieustraszonej , ale tuż przed premierą usłyszałam usłyszała m od Marysi : mama płacze ze zdenerwowania .
205	ADP+NOUN	W	w	0	życiu	życie	1	W życiu	w życie	W życiu prywatnym afiszował swój homoseksualizm , miał cały harem młodych ludzi , pozornie adiutantów .
206	PART+VERB	nie	nie	17	ma	mieć	18	nie ma	nie mieć	Jak wiadomo istnieją już fabryki automatyczne , gdzie człowieka się nie uświadczy , jak do tej pory nie ma jednak laboratoriów , w których wataha komputerów układałaby układała by programy .
207	ADP+PRON	o	o	4	czym	co	5	o czym	o co	Kto z kim i o czym rozmawia , jakie są języki i tajne sygnały .
208	VERB+PRON	daję	dawać	12	sobie	siebie	13	daję sobie	dawać siebie	Te fasolki wszystkich smaków to wynalazek Joanne Rowling z Harry'ego Pottera i daję sobie punkty za to , że nie musiałem musiał em tego nigdzie sprawdzać , natomiast kiedy zgadaliśmy zgadali śmy się z innymi rodzicami po zebraniu – to oni nie wiedzieli .
209	PART+VERB	nie	nie	41	wiedzieli	wiedzieć	42	nie wiedzieli	nie wiedzieć	Te fasolki wszystkich smaków to wynalazek Joanne Rowling z Harry'ego Pottera i daję sobie punkty za to , że nie musiałem musiał em tego nigdzie sprawdzać , natomiast kiedy zgadaliśmy zgadali śmy się z innymi rodzicami po zebraniu – to oni nie wiedzieli .
210	ADP+PRON	z	z	7	siebie	siebie	8	z siebie	z siebie	– A ty wyglądasz na bardzo zadowolonego z siebie .
211	ADP+NOUN	w	w	9	czasie	czas	10	w czasie	w czas	Wypytywała rodaków o Warszawę , interesowała się przeżyciami Tomka w czasie wyprawy i nawet namawiała go usilnie , aby pozostał w Australii .
212	ADP+NOUN	na	na	2	ręce	ręka	3	na ręce	na ręka	Wzięła mnie na ręce i zaniosła na łóżko .
213	ADP+PRON	o	o	4	czym	co	5	o czym	o co	"Tak twierdzą meksykańscy naukowcy o czym donosi tygodnik "" New Scientist "" ."
214	ADP+ADV	na	na	20	tyle	tyle	21	na tyle	na tyle	Pokiwał tylko głową nie bardzo chyba wierząc w to wszystko , a może tylko oswoił się już z tą myślą na tyle , że nie robiła już na nim większego wrażenia .
215	CCONJ+PRON	i	i	7	tym	to	8	i tym	i to	Okrągły , kolorowy , charakteryzuje się asymetrią i tym że nie ma w nim dwóch takich samych elementów .
216	PART+VERB	nie	nie	10	ma	mieć	11	nie ma	nie mieć	Okrągły , kolorowy , charakteryzuje się asymetrią i tym że nie ma w nim dwóch takich samych elementów .
217	PART+VERB	nie	nie	4	mają	mieć	5	nie mają	nie mieć	Mieszkańcy tych miejscowości nadal nie mają prądu i nikt nie umie powiedzieć , kiedy będzie .
218	ADP+NOUN	w	w	25	oczach	oko	26	w oczach	w oko	- W taką grę , to my się bawić nie będziemy ! - powiedziało kilkunastu , czy może nawet kilkudziesięciu facetów i bryknęło z obłędem w oczach przez płot do domów .
219	PART+VERB	nie	nie	1	mają	mieć	2	nie mają	nie mieć	Anglosasi nie mają wielkich przywódców nie dlatego , że ich nie posiadają - lecz dlatego , że ich nie chcą .
220	PART+VERB	nie	nie	18	chcą	chcieć	19	nie chcą	nie chcieć	Anglosasi nie mają wielkich przywódców nie dlatego , że ich nie posiadają - lecz dlatego , że ich nie chcą .
221	ADP+NOUN	w	w	4	czasie	czas	5	w czasie	w czas	Nie będziesz wówczas podjadać w czasie różnych prac domowych i na ulicy .
222	ADP+DET	na	na	6	tyle	tyle	7	na tyle	na tyle	- Będąc urzędnikiem mogę się czuć na tyle silny , na ile pozwala mi prawo .
223	ADP+NOUN	w	w	6	czasie	czas	7	w czasie	w czas	- Jego przodków uratował mój dziadek w czasie II wojny światowej .
224	PART+VERB	Nie	nie	0	wiem	wiedzieć	1	Nie wiem	nie wiedzieć	Nie wiem , czy rozwiązanie parlamentu to dobry pomysł na ich rozwiązanie .
225	ADJ+NOUN	gorącym	gorący	5	uczynku	uczynek	6	gorącym uczynku	gorący uczynek	Zostali zatrzymani przez policję na gorącym uczynku .
226	PART+VERB	nie	nie	3	chciał	chcieć	4	nie chciał	nie chcieć	Edek odmówił , nie chciał zostawić Mali .
227	PART+VERB	nie	nie	2	wiedziała	wiedzieć	3	nie wiedziała	nie wiedzieć	Ale prezenterka nie wiedziała , kiedy miałaby miała by zajść w ciążę , bo to mogło pokrzyżować jej plany zawodowe .
228	PART+VERB	nie	nie	36	mają	mieć	37	nie mają	nie mieć	Niektórzy kandydaci do wyborów podchodzić będą spokojnie , bo albo są jedynymi ubiegającymi się o mandat radnego w swoim okręgu ( co w praktyce oznacza , że już mogą się z niego cieszyć ) , albo nie mają żadnych konkurentów w staraniach o fotel wójta lub burmistrza gminy .
229	ADP+NOUN	w	w	7	życie	życie	8	w życie	w życie	Zbigniew Izdebski : Reforma administracyjna jest wdrażana w życie , choć wielu oponentów twierdzi , że jest zbyt wcześnie na jakiekolwiek reformy .
230	PART+VERB	nie	nie	12	ma	mieć	13	nie ma	nie mieć	Nie bój się , nie sposób jest przechwalić dziecko , a chwalenie nie ma nic wspólnego z rozpieszczaniem .
231	PART+VERB	nie	nie	7	dać	dać	8	nie dać	nie dać	"Trzeba "" siedzieć "" blisko niego , nie dać mu się rozwinąć , zadawać mnóstwo ciosów w półdystansie ."
232	ADP+NOUN	w	w	7	czasie	czas	8	w czasie	w czas	Do wypadku doszło w poniedziałek po południu w czasie największego upału .
233	PART+VERB	Nie	nie	0	ma	mieć	1	Nie ma	nie mieć	Nie ma co prawda koniaku , ale ma właśnie te cygara , jeśli pan oberleutnant zechce przyjąć . . .
234	ADP+NOUN	do	do	1	góry	góra	2	do góry	do góra	Podnoszą do góry ręce , śpiewają .
235	ADP+NOUN	w	w	11	życiu	życie	12	w życiu	w życie	– Ja ci tutaj mówię coś , co może ci się w życiu twem przydać , a ty żarty sobie stroisz .
236	ADP+NOUN	w	w	19	oczach	oko	20	w oczach	w oko	Początkowo kropla zabarwiła swą najbliższą okolicę , ale oto coś przystąpiło do kontrofensywy , gdyż strefa barwna poczyna się w oczach kurczyć i po chwili nie ma już śladu po barwnej kropli .
237	PART+VERB	nie	nie	25	ma	mieć	26	nie ma	nie mieć	Początkowo kropla zabarwiła swą najbliższą okolicę , ale oto coś przystąpiło do kontrofensywy , gdyż strefa barwna poczyna się w oczach kurczyć i po chwili nie ma już śladu po barwnej kropli .
238	PART+VERB	nie	nie	19	widzi	widzieć	20	nie widzi	nie widzieć	No jeśli jest tak , jak Pan mówi , no to może Pan nas skrytykować w swym tekście - nie widzi problemu kierownik placówki rzucającej oskarżeniami .
239	DET+NOUN	swoje	swój	14	siły	siła	15	swoje siły	swój siła	Wiedźma odwróciła się ku niemu z mozołem , wkładając w ten drobny ruch wszystkie swoje siły .
240	VERB+PRON	dopuszcza	dopuszczać	2	się	się	3	dopuszcza się	dopuszczać się	Tym razem dopuszcza się inną działalność , niż gastronomiczna .
241	ADP+NOUN	w	w	13	stanie	stan	14	w stanie	w stan	Miesiąc temu posadę stracił komendant powiatowy z Braniewa , który w komendzie był w stanie nietrzeźwości .
242	PART+VERB	Nie	nie	0	chce	chcieć	1	Nie chce	nie chcieć	Nie chce widzieć nikogo ! - skrzyczała nas jego sekretarka .
243	PART+VERB	nie	nie	22	chciał	chcieć	23	nie chciał	nie chcieć	Ajtemików , czyli przedmiotów lub umiejętności , które mogę kupić , jest mnóstwo i Córka zastanawia się , czybym czy by m nie chciał kupić jej ajtemika , który sprawi , że będzie latać .
244	ADP+PRON	w	w	30	czym	co	31	w czym	w co	Łatwiej jest ziać ogniem i rzucać zaklęcia , niż dbać o celne headshoty , ale prawda jest taka , że nastolatki wolą CS GO niż wybieranie mikstur i czarów , w czym , zdaje się , celują Azjaci .
245	ADJ+NOUN	ostatnie	ostatni	19	słowa	słowo	20	ostatnie słowa	ostatni słowo	- Młody człowieku , za to , co się stało tej nocy , zapłacisz własną krwią - takie były ostatnie słowa , jakie Casanuova powiedział do hrabiego Ciano .
246	ADP+ADV	na	na	3	tyle	tyle	4	na tyle	na tyle	Wachowski natomiast miał na tyle duży wpływ na Wałęsę , że mógł u niego ułaskawienie wyjednać .
247	ADP+PRON	w	w	14	sobie	siebie	15	w sobie	w siebie	Kiedy wieczorem po raz kolejny przegryzał całą historię , oprócz żalu i rozczarowania odkrył w sobie także uczucie ulgi .
248	ADP+NOUN	na	na	4	cele	cel	5	na cele	na cel	Wykorzystanie zabytkowych nieruchomości wyłącznie na cele komercyjne sprawia , że atrakcyjne dzielnice miast pustoszeją z mieszkańców
249	PART+VERB	nie	nie	26	chcemy	chcieć	27	nie chcemy	nie chcieć	A tak w ogóle to jak jeszcze jutro będzie siedział w tej brei to psy spuszczę i kijem skórę wygarbuję , bo my tu żadnego podmiotu nie chcemy .
250	VERB+PRON	uniosły	unieść	4	się	się	5	uniosły się	unieść się	W gasnącym świetle rakiety uniosły się zaciśnięte pięści .
251	PART+VERB	nie	nie	7	chcieli	chcieć	8	nie chcieli	nie chcieć	Ani on , ani zastępca Grzegorz Paluch nie chcieli jednak wypowiadać się o całej sprawie na łamach prasy .
252	PART+PART	i	i	6	to	to	7	i to	i to	System finansowy kas chorych nadal , i to w przyspieszonym tempie , anarchizuje się , a w ostatnich miesiącach faktycznie się załamał , czego widocznym przykładem jest gwałtowny wzrost zadłużenia zakładów opieki zdrowotnej oraz - co zdecydowanie bardziej groźne - utrata płynności finansowej płatnika , jakim są kasy chorych , co prowadzi w prostej linii do bankructwa .
253	PART+VERB	nie	nie	1	miał	mieć	2	nie miał	nie mieć	Denat nie miał przy sobie dokumentów .
254	ADP+NOUN	w	w	4	czasie	czas	5	w czasie	w czas	Sam Stern natomiast - w czasie , kiedy go odkrywaliśmy odkrywali śmy - miał już tę buntowniczą młodość za sobą i zajmował się głównie pisaniem dla zarobku licznych scenariuszy filmowych .
255	ADP+PRON	w	w	13	siebie	siebie	14	w siebie	w siebie	Uspokoiła się myślą , że ten wydatek to także inwestycja , tyle że w siebie .
256	PART+VERB	nie	nie	8	ma	mieć	9	nie ma	nie mieć	Mimo obietnic złożonych pacjentom , stwardnienia rozsianego nadal nie ma na liście chorób przewlekłych .
257	ADP+PRON	w	w	2	siebie	siebie	3	w siebie	w siebie	To wiara w siebie - jako podstawowy warunek zwycięstwa .
258	ADP+NOUN	do	do	4	góry	góra	5	do góry	do góra	Te kapsle , podrzucane do góry , dudniły o butelkę .
259	PART+VERB	nie	nie	15	wierzył	wierzyć	16	nie wierzył	nie wierzyć	Komendantowi OSP z Wąsosza wszyscy mówili , że ma wśród swoich ludzi podpalaczy , ale nie wierzył .
260	ADP+PRON	o	o	4	co	co	5	o co	o co	Sprawdziłeś Sprawdził eś , o co cię prosiłem prosił em ?
261	PART+VERB	nie	nie	6	mają	mieć	7	nie mają	nie mieć	Wytwarza je krajowy przemysł farmaceutyczny i nie mają tańszych zamienników .
262	PART+VERB	nie	nie	2	widzi	widzieć	3	nie widzi	nie widzieć	Pan nic nie widzi , nic nie wie .
263	PART+VERB	nie	nie	6	wie	wiedzieć	7	nie wie	nie wiedzieć	Pan nic nie widzi , nic nie wie .
264	VERB+PRON	dają	dawać	15	się	się	16	dają się	dawać się	Lipidy stanowią klasę związków , które są trudno rozpuszczalne lub nierozpuszczalne w wodzie , a dają się wyekstrahować z tkanek przy pomocy niepolarnych rozpuszczalników organicznych , takich jak : eter , benzen , chloroform czy heksan .
265	ADP+NOUN	na	na	2	nogach	noga	3	na nogach	na noga	Od czwartej na nogach , dwie godziny kręcenia papilotów , a tu jeszcze moment , a lunie .
266	ADP+NOUN	na	na	24	końcu	koniec	25	na końcu	na koniec	Tydzień temu dyskutowaliśmy dyskutowali śmy o aborcji i o tym , żeby nie zabijać , a żołnierz , rekrut składający przysięgę wojskową , mówiący na końcu : ˝ Tak mi dopomóż Bóg ˝ , powinien mieć świadomość , że musi zabijać .
267	ADP+NOUN	w	w	6	oczach	oko	7	w oczach	w oko	Chyba sam miałem miał em mokro w oczach ; zawsze miałem miał em oczy ustawione w mokrym miejscu .
268	PART+VERB	nie	nie	21	masz	mieć	22	nie masz	nie mieć	Wydaje się , że to bardzo dużo czasu , ale minuta płynie za minutą , godzina za godziną , a ty nie masz nic .
269	ADP+NOUN	w	w	1	pole	pole	2	w pole	w pole	Wbiegł w pole karne , strzelił gola .
270	PART+VERB	Nie	nie	1	dajmy	dać	2	Nie dajmy	nie dać	- Nie dajmy się sprowokować ! - wołali drudzy .
271	VERB+PRON	dajmy	dać	2	się	się	3	dajmy się	dać się	- Nie dajmy się sprowokować ! - wołali drudzy .
272	PART+VERB	nie	nie	14	chcemy	chcieć	15	nie chcemy	nie chcieć	"Ryszard Smożewski : "" Zajmujemy się tematyką sportową regularnie , jako jedyni , ale nie chcemy być sportowym teatrem ."
273	PART+VERB	nie	nie	10	ma	mieć	11	nie ma	nie mieć	Boom Box nie skarży się na warunki , chociaż zespół nie ma samochodu i na koncerty dojeżdża pociągami , a potem z dworca autobusem .
274	VERB+PRON	podzieliła	podzielić	2	się	się	3	podzieliła się	podzielić się	Komisja tak podzieliła się w głosowaniu w tej sprawie , że rozstrzygnięcie było niemożliwe - dwóch członków komisji było za ukaraniem gwiżdżących posłów , dwóch przeciw i jeden wstrzymał się od głosu .
275	PART+VERB	Nie	nie	1	mam	mieć	2	Nie mam	nie mieć	- Nie mam drugiej przy sobie - odburknął mąż i zaciągnął się papierosem .
