mwe_type	first_word	first_word_id	second_word	second_word_id	mwe	sentence	is_correct	dataset_type	complete_mwe_in_sent	prediction
VERB+PRON	identyfikuje	10	się	11	identyfikuje się	"Zdaniem sygnatariuszy deklaracji , prezydent udowodnił , że "" nie identyfikuje się z historią i kulturą Polaków , a tym samym nie ma moralnego prawa do reprezentowania naszego Narodu "" ."	0	test	1	1
ADP+NOUN	z	12	historią	13	z historią	"Zdaniem sygnatariuszy deklaracji , prezydent udowodnił , że "" nie identyfikuje się z historią i kulturą Polaków , a tym samym nie ma moralnego prawa do reprezentowania naszego Narodu "" ."	0	test	1	0
ADP+NOUN	do	25	reprezentowania	26	do reprezentowania	"Zdaniem sygnatariuszy deklaracji , prezydent udowodnił , że "" nie identyfikuje się z historią i kulturą Polaków , a tym samym nie ma moralnego prawa do reprezentowania naszego Narodu "" ."	0	test	1	0
VERB+NOUN	sprzedaje	1	książki	2	sprzedaje książki	Bartek sprzedaje książki , bo chce się ich po prostu pozbyć .	0	test	1	0
ADJ+NOUN	Lwia	0	część	1	Lwia część	Lwia część pieniędzy Caritas została przeznaczona na pomoc powodzianom - 1,85 mln złotych .	0	test	1	0
NOUN+NOUN	część	1	pieniędzy	2	część pieniędzy	Lwia część pieniędzy Caritas została przeznaczona na pomoc powodzianom - 1,85 mln złotych .	0	test	1	0
ADP+NOUN	na	6	pomoc	7	na pomoc	Lwia część pieniędzy Caritas została przeznaczona na pomoc powodzianom - 1,85 mln złotych .	0	test	1	0
NOUN+NOUN	pomoc	7	powodzianom	8	pomoc powodzianom	Lwia część pieniędzy Caritas została przeznaczona na pomoc powodzianom - 1,85 mln złotych .	0	test	1	0
NOUN+VERB	Nowoczesność	5	przejawia	6	Nowoczesność przejawia	"A potem dodaje : "" Nowoczesność przejawia się nie w technice , ale w ideach ."	0	test	1	0
VERB+PRON	przejawia	6	się	7	przejawia się	"A potem dodaje : "" Nowoczesność przejawia się nie w technice , ale w ideach ."	0	test	1	1
ADP+NOUN	w	9	technice	10	w technice	"A potem dodaje : "" Nowoczesność przejawia się nie w technice , ale w ideach ."	0	test	1	0
ADP+NOUN	w	13	ideach	14	w ideach	"A potem dodaje : "" Nowoczesność przejawia się nie w technice , ale w ideach ."	0	test	1	0
VERB+PRON	Poszukiwała	0	go	1	Poszukiwała go	Poszukiwała go policja z Gostynia za kilka innych przestępstw .	0	test	1	0
ADJ+NOUN	innych	7	przestępstw	8	innych przestępstw	Poszukiwała go policja z Gostynia za kilka innych przestępstw .	0	test	1	0
NOUN+ADJ	budżet	5	wakacyjny	6	budżet wakacyjny	Najwięcej wydał Mielec , którego budżet wakacyjny wyniósł 400 tysięcy złotych .	0	test	1	0
ADP+NOUN	na	1	kałużach	2	na kałużach	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
NOUN+NOUN	kałużach	2	lód	3	kałużach lód	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
VERB+NOUN	patrzeć	6	śnieżyc	7	patrzeć śnieżyc	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
VERB+NOUN	stanie	18	rzeka	19	stanie rzeka	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
VERB+NOUN	chowaj	24	czółno	25	chowaj czółno	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
ADP+NOUN	do	26	szopy	27	do szopy	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
NOUN+VERB	sanie	29	wyciągaj	30	sanie wyciągaj	Rankami na kałużach lód , tylko patrzeć śnieżyc , a po nich mrozów , tylko patrzeć , jak stanie rzeka i zalewy , wtedy chowaj czółno do szopy , sanie wyciągaj .	0	test	1	0
NOUN+NOUN	Budżet	0	państwa	1	Budżet państwa	Budżet państwa sfinansuje połowę odsetek od kredytów hipotecznych .	0	test	1	0
VERB+NOUN	sfinansuje	2	połowę	3	sfinansuje połowę	Budżet państwa sfinansuje połowę odsetek od kredytów hipotecznych .	0	test	1	0
NOUN+NOUN	połowę	3	odsetek	4	połowę odsetek	Budżet państwa sfinansuje połowę odsetek od kredytów hipotecznych .	0	test	1	0
ADP+NOUN	od	5	kredytów	6	od kredytów	Budżet państwa sfinansuje połowę odsetek od kredytów hipotecznych .	0	test	1	0
NOUN+ADJ	kredytów	6	hipotecznych	7	kredytów hipotecznych	Budżet państwa sfinansuje połowę odsetek od kredytów hipotecznych .	0	test	1	0
ADJ+NOUN	pozostałych	5	kierowców	6	pozostałych kierowców	To wystarczyło , żeby przestraszyć pozostałych kierowców trójkołowych pojazdów , którzy też pracowali nielegalnie .	0	test	1	0
ADJ+NOUN	trójkołowych	7	pojazdów	8	trójkołowych pojazdów	To wystarczyło , żeby przestraszyć pozostałych kierowców trójkołowych pojazdów , którzy też pracowali nielegalnie .	0	test	1	0
ADJ+NOUN	przyszłych	1	projektantów	2	przyszłych projektantów	Pomysłowość przyszłych projektantów podziwiali wczoraj pierwsi goście .	0	test	1	0
ADJ+NOUN	pierwsi	5	goście	6	pierwsi goście	Pomysłowość przyszłych projektantów podziwiali wczoraj pierwsi goście .	0	test	1	0
ADP+NOUN	na	7	tablicę	8	na tablicę	Przeczytał dokładnie , po czym obejrzał się na tablicę .	0	test	1	0
ADJ+NOUN	czarnym	10	marszu	11	czarnym marszu	"Blisko 10 tysięcy mieszkańców Bydgoszczy wzięło udział w piątkowym "" czarnym marszu "" przeciwko przemocy ."	0	test	1	0
ADP+NOUN	przeciwko	13	przemocy	14	przeciwko przemocy	"Blisko 10 tysięcy mieszkańców Bydgoszczy wzięło udział w piątkowym "" czarnym marszu "" przeciwko przemocy ."	0	test	1	0
NOUN+ADJ	bycia	5	postrzeganym	6	bycia postrzeganym	Firma ta ciągle ma ambicję bycia postrzeganym jako lider na rynku .	0	test	1	0
ADP+NOUN	na	9	rynku	10	na rynku	Firma ta ciągle ma ambicję bycia postrzeganym jako lider na rynku .	0	test	1	0
ADJ+PRON	przedłużającej	3	się	4	przedłużającej się	Tyle że w przedłużającej się ciemności więcej niż zwykle ukradziono ze stołu butelek wódki i damskich torebek .	0	test	1	0
ADP+NOUN	ze	10	stołu	11	ze stołu	Tyle że w przedłużającej się ciemności więcej niż zwykle ukradziono ze stołu butelek wódki i damskich torebek .	0	test	1	0
NOUN+NOUN	butelek	12	wódki	13	butelek wódki	Tyle że w przedłużającej się ciemności więcej niż zwykle ukradziono ze stołu butelek wódki i damskich torebek .	0	test	1	0
ADJ+NOUN	damskich	15	torebek	16	damskich torebek	Tyle że w przedłużającej się ciemności więcej niż zwykle ukradziono ze stołu butelek wódki i damskich torebek .	0	test	1	0
VERB+NOUN	gra	6	głową	7	gra głową	Jest szybki , silny , świetnie gra głową , drybluje lewą i prawą nogą - po prostu najlepszy obrońca świata .	0	test	1	0
ADJ+NOUN	prawą	12	nogą	13	prawą nogą	Jest szybki , silny , świetnie gra głową , drybluje lewą i prawą nogą - po prostu najlepszy obrońca świata .	0	test	1	0
ADJ+NOUN	najlepszy	17	obrońca	18	najlepszy obrońca	Jest szybki , silny , świetnie gra głową , drybluje lewą i prawą nogą - po prostu najlepszy obrońca świata .	0	test	1	0
NOUN+NOUN	obrońca	18	świata	19	obrońca świata	Jest szybki , silny , świetnie gra głową , drybluje lewą i prawą nogą - po prostu najlepszy obrońca świata .	0	test	1	0
ADJ+PRON	zgłaszających	2	się	3	zgłaszających się	Żydów , zgłaszających się do Armii Ochotniczej w 1920 r . , kierowano do karnych batalionów .	0	test	1	1
ADP+NOUN	do	4	Armii	5	do Armii	Żydów , zgłaszających się do Armii Ochotniczej w 1920 r . , kierowano do karnych batalionów .	0	test	1	0
NOUN+ADJ	Armii	5	Ochotniczej	6	Armii Ochotniczej	Żydów , zgłaszających się do Armii Ochotniczej w 1920 r . , kierowano do karnych batalionów .	0	test	1	0
ADJ+NOUN	karnych	14	batalionów	15	karnych batalionów	Żydów , zgłaszających się do Armii Ochotniczej w 1920 r . , kierowano do karnych batalionów .	0	test	1	0
ADP+NOUN	w	16	porządku	17	w porządku	Ja mówię : bójmy się , bo to tworzy pewien klimat , że coś jest nie w porządku , że to dziwne , podejrzane środowisko te media .	0	test	1	0
ADJ+NOUN	podejrzane	23	środowisko	24	podejrzane środowisko	Ja mówię : bójmy się , bo to tworzy pewien klimat , że coś jest nie w porządku , że to dziwne , podejrzane środowisko te media .	0	test	1	0
NOUN+NOUN	Ofiarami	1	gangu	2	Ofiarami gangu	- Ofiarami gangu były Polki i cudzoziemki , które były uprowadzane , ukrywane , maltretowane i zmuszane do prostytucji - powiedziała wczoraj Agnieszka Gołąbek z biura prasowego Komendy Wojewódzkiej Policji w Radomiu .	0	test	1	0
ADP+NOUN	do	17	prostytucji	18	do prostytucji	- Ofiarami gangu były Polki i cudzoziemki , które były uprowadzane , ukrywane , maltretowane i zmuszane do prostytucji - powiedziała wczoraj Agnieszka Gołąbek z biura prasowego Komendy Wojewódzkiej Policji w Radomiu .	0	test	1	0
ADP+NOUN	z	24	biura	25	z biura	- Ofiarami gangu były Polki i cudzoziemki , które były uprowadzane , ukrywane , maltretowane i zmuszane do prostytucji - powiedziała wczoraj Agnieszka Gołąbek z biura prasowego Komendy Wojewódzkiej Policji w Radomiu .	0	test	1	0
NOUN+ADJ	biura	25	prasowego	26	biura prasowego	- Ofiarami gangu były Polki i cudzoziemki , które były uprowadzane , ukrywane , maltretowane i zmuszane do prostytucji - powiedziała wczoraj Agnieszka Gołąbek z biura prasowego Komendy Wojewódzkiej Policji w Radomiu .	0	test	1	0
NOUN+ADJ	Komendy	27	Wojewódzkiej	28	Komendy Wojewódzkiej	- Ofiarami gangu były Polki i cudzoziemki , które były uprowadzane , ukrywane , maltretowane i zmuszane do prostytucji - powiedziała wczoraj Agnieszka Gołąbek z biura prasowego Komendy Wojewódzkiej Policji w Radomiu .	0	test	1	0
ADJ+NOUN	konkretne	4	oszczędności	5	konkretne oszczędności	- Czy będą tu konkretne oszczędności , będzie wiadomo dopiero w grudniu tego roku - mówi burmistrz Kęt Roman Olejarz .	0	test	1	0
ADP+NOUN	w	10	grudniu	11	w grudniu	- Czy będą tu konkretne oszczędności , będzie wiadomo dopiero w grudniu tego roku - mówi burmistrz Kęt Roman Olejarz .	0	test	1	0
VERB+NOUN	mówi	15	burmistrz	16	mówi burmistrz	- Czy będą tu konkretne oszczędności , będzie wiadomo dopiero w grudniu tego roku - mówi burmistrz Kęt Roman Olejarz .	0	test	1	0
ADJ+NOUN	Prywatny	0	autobus	1	Prywatny autobus	Prywatny autobus został zatrzymany do rutynowej kontroli .	0	test	1	0
ADJ+NOUN	rutynowej	5	kontroli	6	rutynowej kontroli	Prywatny autobus został zatrzymany do rutynowej kontroli .	0	test	1	0
ADP+NOUN	ze	3	statku	4	ze statku	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADP+NOUN	na	5	ląd	6	na ląd	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADJ+NOUN	najlepszego	12	materiału	13	najlepszego materiału	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
NOUN+NOUN	materiału	13	ubiorze	14	materiału ubiorze	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADP+NOUN	do	18	pory	19	do pory	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
NOUN+NOUN	pory	19	roku	20	pory roku	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADJ+NOUN	dojrzałego	28	wieku	29	dojrzałego wieku	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADJ+NOUN	najnowszego	36	żurnalu	37	najnowszego żurnalu	Ale gdy schodziła ze statku na ląd w doskonale skrojonym i z najlepszego materiału ubiorze , świetnie dostosowanym do pory roku i dnia , a także do jej dojrzałego wieku — wyglądała jak gdyby wycięta z najnowszego żurnalu .	0	test	1	0
ADP+NOUN	na	2	wycieczce	3	na wycieczce	Nie jestem na wycieczce !	0	test	1	0
VERB+PRON	uświadomiła	9	sobie	10	uświadomiła sobie	O Boże , nie znalazłam znalazła m Williego - uświadomiła sobie nagle - zostawiłam zostawiła m go nie wiadomo gdzie .	0	test	1	0
ADJ+NOUN	Maszewski	0	Teatr	1	Maszewski Teatr	Maszewski Teatr Krzyk wystąpi dzisiaj w Gdańsku .	0	test	1	0
NOUN+NOUN	Teatr	1	Krzyk	2	Teatr Krzyk	Maszewski Teatr Krzyk wystąpi dzisiaj w Gdańsku .	0	test	1	0
ADJ+NOUN	Narodowe	0	Stowarzyszenie	1	Narodowe Stowarzyszenie	Narodowe Stowarzyszenie im . Audubona sformułowało podróżniczy regulamin w formie kodu etycznego , który musi być zaadaptowany przez każdego turoperatora działającego pod jej auspicjami .	0	test	1	0
ADJ+NOUN	podróżniczy	6	regulamin	7	podróżniczy regulamin	Narodowe Stowarzyszenie im . Audubona sformułowało podróżniczy regulamin w formie kodu etycznego , który musi być zaadaptowany przez każdego turoperatora działającego pod jej auspicjami .	0	test	1	0
ADP+NOUN	w	8	formie	9	w formie	Narodowe Stowarzyszenie im . Audubona sformułowało podróżniczy regulamin w formie kodu etycznego , który musi być zaadaptowany przez każdego turoperatora działającego pod jej auspicjami .	0	test	1	0
NOUN+ADJ	kodu	10	etycznego	11	kodu etycznego	Narodowe Stowarzyszenie im . Audubona sformułowało podróżniczy regulamin w formie kodu etycznego , który musi być zaadaptowany przez każdego turoperatora działającego pod jej auspicjami .	0	test	1	0
NOUN+ADJ	turoperatora	19	działającego	20	turoperatora działającego	Narodowe Stowarzyszenie im . Audubona sformułowało podróżniczy regulamin w formie kodu etycznego , który musi być zaadaptowany przez każdego turoperatora działającego pod jej auspicjami .	0	test	1	0
ADJ+NOUN	rolniczych	3	związków	4	rolniczych związków	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	0
NOUN+ADJ	związków	4	zawodowych	5	związków zawodowych	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	0
VERB+PRON	zrobi	10	wszystko	11	zrobi wszystko	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	1
ADP+NOUN	do	15	konfrontacji	16	do konfrontacji	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	0
NOUN+NOUN	konfrontacji	16	rolników	17	konfrontacji rolników	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	0
ADP+NOUN	z	18	policją	19	z policją	Również szefowie konkurencyjnych rolniczych związków zawodowych uważają , że Lepper zrobi wszystko , by doszło do konfrontacji rolników z policją .	0	test	1	0
ADP+NOUN	w	6	hierarchii	7	w hierarchii	- Politycy mają świadomość pozycji Dziwisza w hierarchii Kościoła .	0	test	1	0
NOUN+NOUN	hierarchii	7	Kościoła	8	hierarchii Kościoła	- Politycy mają świadomość pozycji Dziwisza w hierarchii Kościoła .	0	test	1	0
ADP+NOUN	w	11	sobotę	12	w sobotę	Będę więc dalej pracować , pojutrze lecę do Meksyku , ale w sobotę wracam .	0	test	1	0
NOUN+VERB	sobotę	12	wracam	13	sobotę wracam	Będę więc dalej pracować , pojutrze lecę do Meksyku , ale w sobotę wracam .	0	test	1	0
VERB+PRON	Rozbawił	0	go	1	Rozbawił go	Rozbawił go bezsens sytuacji , tym bardziej że za drzwiami na drugim piętrze , niczym odpowiedź , rozległ się płacz dziecka .	0	test	1	0
NOUN+NOUN	bezsens	2	sytuacji	3	bezsens sytuacji	Rozbawił go bezsens sytuacji , tym bardziej że za drzwiami na drugim piętrze , niczym odpowiedź , rozległ się płacz dziecka .	0	test	1	0
ADP+NOUN	za	8	drzwiami	9	za drzwiami	Rozbawił go bezsens sytuacji , tym bardziej że za drzwiami na drugim piętrze , niczym odpowiedź , rozległ się płacz dziecka .	0	test	1	0
ADJ+NOUN	drugim	11	piętrze	12	drugim piętrze	Rozbawił go bezsens sytuacji , tym bardziej że za drzwiami na drugim piętrze , niczym odpowiedź , rozległ się płacz dziecka .	0	test	1	0
NOUN+NOUN	płacz	19	dziecka	20	płacz dziecka	Rozbawił go bezsens sytuacji , tym bardziej że za drzwiami na drugim piętrze , niczym odpowiedź , rozległ się płacz dziecka .	0	test	1	0
ADP+NOUN	W	0	elegancji	1	W elegancji	W elegancji ojca chodziło o coś więcej niż rozwiązane sznurówki , niezapięta kamizelka czy nieuczesane włosy .	0	test	1	0
NOUN+NOUN	elegancji	1	ojca	2	elegancji ojca	W elegancji ojca chodziło o coś więcej niż rozwiązane sznurówki , niezapięta kamizelka czy nieuczesane włosy .	0	test	1	0
ADJ+NOUN	rozwiązane	8	sznurówki	9	rozwiązane sznurówki	W elegancji ojca chodziło o coś więcej niż rozwiązane sznurówki , niezapięta kamizelka czy nieuczesane włosy .	0	test	1	0
ADJ+NOUN	niezapięta	11	kamizelka	12	niezapięta kamizelka	W elegancji ojca chodziło o coś więcej niż rozwiązane sznurówki , niezapięta kamizelka czy nieuczesane włosy .	0	test	1	0
ADJ+NOUN	nieuczesane	14	włosy	15	nieuczesane włosy	W elegancji ojca chodziło o coś więcej niż rozwiązane sznurówki , niezapięta kamizelka czy nieuczesane włosy .	0	test	1	0
NOUN+VERB	ludzie	4	wylegli	5	ludzie wylegli	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
ADP+NOUN	nad	6	wodę	7	nad wodę	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
ADP+NOUN	z	8	psami	9	z psami	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
ADP+NOUN	na	13	rowerach	14	na rowerach	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
ADP+NOUN	na	19	odcinku	20	na odcinku	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
ADP+NOUN	od	21	mostu	22	od mostu	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	0
VERB+PRON	ustawiło	29	się	30	ustawiło się	Nic to , że ludzie wylegli nad wodę z psami , wózkami , na rowerach , piechotą ; że na odcinku od mostu w al . Tysiąclecia po Szaflary ustawiło się ok . 10 wędkarzy .	0	test	1	1
ADJ+NOUN	stosowne	7	zapisy	8	stosowne zapisy	Wyjaśnił także , że są już przygotowane stosowne zapisy nowelizujące ustawy , jednak nie wiadomo , kiedy mogłyby mogły by wejść w życie .	0	test	1	0
NOUN+ADJ	zapisy	8	nowelizujące	9	zapisy nowelizujące	Wyjaśnił także , że są już przygotowane stosowne zapisy nowelizujące ustawy , jednak nie wiadomo , kiedy mogłyby mogły by wejść w życie .	0	test	1	0
ADJ+NOUN	nowelizujące	9	ustawy	10	nowelizujące ustawy	Wyjaśnił także , że są już przygotowane stosowne zapisy nowelizujące ustawy , jednak nie wiadomo , kiedy mogłyby mogły by wejść w życie .	0	test	1	0
VERB+PRON	sortują	3	się	4	sortują się	Produkty na bieżąco sortują się według tych parametrów , jakie wybrał klient – dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb .	0	test	1	0
VERB+NOUN	wybrał	10	klient	11	wybrał klient	Produkty na bieżąco sortują się według tych parametrów , jakie wybrał klient – dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb .	0	test	1	0
ADJ+NOUN	szczegółowe	17	sprecyzowanie	18	szczegółowe sprecyzowanie	Produkty na bieżąco sortują się według tych parametrów , jakie wybrał klient – dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb .	0	test	1	0
ADJ+NOUN	własnych	19	potrzeb	20	własnych potrzeb	Produkty na bieżąco sortują się według tych parametrów , jakie wybrał klient – dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb .	0	test	1	0
ADJ+NOUN	niewątpliwy	9	sukces	10	niewątpliwy sukces	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
NOUN+VERB	sukces	10	poczytywał	11	sukces poczytywał	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
VERB+PRON	poczytywał	11	sobie	12	poczytywał sobie	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
ADJ+NOUN	bezbłędne	13	odnalezienie	14	bezbłędne odnalezienie	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
ADJ+NOUN	powietrznego	15	tankowca	16	powietrznego tankowca	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
NOUN+NOUN	pomoc	25	załogi	26	pomoc załogi	Mimo to jakoś radził sobie dotychczas , a jako niewątpliwy sukces poczytywał sobie bezbłędne odnalezienie powietrznego tankowca nad Morzem Południowochińskim , tym większy , że pomoc załogi ogromnego KC-135 jego zdaniem była znikoma .	0	test	1	0
VERB+PRON	jest	1	ich	2	jest ich	Obecnie jest ich 1,9 mln .	0	test	1	0
NOUN+VERB	matka	1	znała	2	matka znała	Jego matka znała słabo francuski , ale jako tako mogły się porozumieć .	0	test	1	0
ADJ+NOUN	jednym	11	razem	12	jednym razem	Warto zauważyć , że jest ono również użyteczne , gdy za jednym razem na szybie skanera umieszczono kilka obiektów , które użytkownik chce zeskanować do osobnych plików .	0	test	1	0
ADP+NOUN	na	13	szybie	14	na szybie	Warto zauważyć , że jest ono również użyteczne , gdy za jednym razem na szybie skanera umieszczono kilka obiektów , które użytkownik chce zeskanować do osobnych plików .	0	test	1	0
NOUN+NOUN	szybie	14	skanera	15	szybie skanera	Warto zauważyć , że jest ono również użyteczne , gdy za jednym razem na szybie skanera umieszczono kilka obiektów , które użytkownik chce zeskanować do osobnych plików .	0	test	1	0
NOUN+VERB	użytkownik	21	chce	22	użytkownik chce	Warto zauważyć , że jest ono również użyteczne , gdy za jednym razem na szybie skanera umieszczono kilka obiektów , które użytkownik chce zeskanować do osobnych plików .	0	test	1	0
ADJ+NOUN	osobnych	25	plików	26	osobnych plików	Warto zauważyć , że jest ono również użyteczne , gdy za jednym razem na szybie skanera umieszczono kilka obiektów , które użytkownik chce zeskanować do osobnych plików .	0	test	1	0
ADP+NOUN	z	3	samorządami	4	z samorządami	Mamy dziesięcioletnie doświadczenie z samorządami gminnymi .	0	test	1	0
NOUN+ADJ	samorządami	4	gminnymi	5	samorządami gminnymi	Mamy dziesięcioletnie doświadczenie z samorządami gminnymi .	0	test	1	0
ADP+NOUN	Za	0	karę	1	Za karę	Za karę będziecie całą noc trzymać wartę i palić ognisko , żeby nas dziki nie napadły !	0	test	1	0
ADJ+NOUN	całą	3	noc	4	całą noc	Za karę będziecie całą noc trzymać wartę i palić ognisko , żeby nas dziki nie napadły !	0	test	1	0
VERB+NOUN	palić	8	ognisko	9	palić ognisko	Za karę będziecie całą noc trzymać wartę i palić ognisko , żeby nas dziki nie napadły !	0	test	1	0
ADP+NOUN	W	0	programie	1	W programie	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
NOUN+NOUN	programie	1	obchodów	2	programie obchodów	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
VERB+NOUN	przewidziano	3	spotkanie	4	przewidziano spotkanie	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
NOUN+NOUN	spotkanie	4	uczestników	5	spotkanie uczestników	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
ADJ+NOUN	ówczesnych	6	wydarzeń	7	ówczesnych wydarzeń	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
NOUN+ADJ	wystawę	9	fotograficzną	10	wystawę fotograficzną	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
NOUN+ADJ	sesję	12	naukową	13	sesję naukową	W programie obchodów przewidziano spotkanie uczestników ówczesnych wydarzeń , wystawę fotograficzną i sesję naukową .	0	test	1	0
