przyjąć do wiadomości	- Nasi koledzy nie chcą przyjąć do wiadomości , że jest inaczej , niż miało być . . .
poszły w świat	Listy . . . poszły w świat , były tłumaczone na kilkanaście języków , nawet na chiński , śmiać mi się chciało , kiedy dostałam dostała m egzemplarze autorskie , gdzie zamiast liter były same robaczki .
pogrążona w żałobie	Cała szkoła jest pogrążona w żałobie - opowiada dziewczynka .
Oddanie do użytku	Oddanie do użytku domków w Połańcu w październiku 1997 r . było wyjątkowo uroczyste .
ma szansę otrząsnąć się	Kobieta przez wieki tłamszona , przygniatana na sto sposobów , brzydząca się przemocą i ulegająca jej , gwałcona , molestowana i poniżana w swej kobiecości i człowieczeństwie , wyuczona fałszu , manipulująca sobą , kobietami i mężczyznami , by przetrwać , wreszcie ma szansę otrząsnąć się z plwocin , jakie do niej przylgnęły przez wieki , może nie pozwalać na poklepywanie się po tyłku i podszczypywanie , będzie umiała się obronić przed brutalami i zyska wolny wybór stylu życia .
nie ma co	Wtedy pomyślałem pomyślał em : zawsze sobie coś znajdzie , żeby się szamotać , nic go nie zmieni , nawet nie ma co próbować .
klną na czym świat stoi	Ludzie klną na czym świat stoi i zostawiają samochody na ulicy , blokując połowę jezdni .
ani przez myśl	Oglądał em w telewizji , jak zatrzymywali Wieczerzaka i ani przez myśl mi nie przeszło , że jestem zamieszany w podobną aferę .
mamy do czynienia	Moim zdaniem , mamy do czynienia albo z próbą wywołania kryzysu w Sejmie , aby zmusić ewentualnych sojuszników do działań pod dyktando PiS , albo z dążeniem do przedterminowych wyborów .
nie ma czego do garnka włożyć	Przeciętny Polak mógłby mógł by się oburzyć : z czego się cieszyć , skoro on nie ma czego do garnka włożyć ? - zauważa prof . Edmund Wnuk - Lipiński .
biorąc pod uwagę	Po wielu meczach wyjazdowych Obra zbiera niezwykle pochlebne recenzje , ale to niewielka pociecha , biorąc pod uwagę , że liczą się przede wszystkim punkty .
ma w pogotowiu	Ściągnęła sobie już coś do picia , coś do pogryzania , ma w pogotowiu telefon i łączy się czatem ze swoją psiapsiółką , która też będzie oglądać tego lajwika u siebie w domu .
wyszła za mąż	Toteż usłuchawszy go , rzuciła studia , uciekła od rodziców do profesorskiego domu , wkrótce wyszła za mąż za wykładowcę i urodziła dzieci .
zdają sobie sprawę	Kierowcy zdają sobie sprawę z tego , że droga hamowania na zimowych oponach jest dużo krótsza , a zimą znacznie rzadziej wpada się na nich w poślizg - mówi Zbigniew Zaława , właściciel szkoły jazdy w Kielcach .
Wyszedł z założenia	Wyszedł z założenia , że wskazane przez Sellina przepisy ustawy o radiofonii i telewizji - mające stanowić podstawę do wystąpienia o informacje na temat przynależności partyjnej członków zarządów publicznych mediów - takiego prawa nie dają .
pluli sobie w brodę	Kto , jak nie on , zbił na skajowych portmonetkach fortunkę , podczas gdy inni pluli sobie w brodę , że studia mieli , dyplomy srakie-takie , a na ten prosty pomysł nie wpadli ?
nie ma mowy	W moim przypadku nie ma mowy , żeby m z jakiegokolwiek powodu znów zaczął grać .
będzie w stanie	- Nie ma wątpliwości , że dla takiego banku jak Handlowy , skupionego na pewnej grupie klientów , nie jest bez znaczenia , czy będzie w stanie przekształcić się w bank uniwersalny , świadczący usługi zarówno dla przedsiębiorstw , jak i dla ludności .
wyszło z mody	Właśnie teraz , kiedy opalanie już dawno wyszło z mody , potrzebuje ich twoja skóra , oczy , usta , a także włosy , abyś aby ś latem promieniała ciepłymi , opalizującymi kolorami natury .
wodził za nos	Pochodzący z Rumunii ślusarz wodził za nos policję i dyrekcję niemieckiej filii szwajcarskiego koncernu żywnościowego Nestle , podrzucając do sklepów na terenie Niemiec zatrute cyjanowodorem ( kwasem cyjanowodorowym zwanym też pruskim ) sosy , musztardę i majonez marki Thomy .
był w stanie	Wszyscy jednak wiedzą , że odejście junty było skutkiem kompromisu i że przez to Karamanlis nie był w stanie dokonać katharsis .
ma za zadanie	W ostatnich dniach do parlamentu trafił także rządowy projekt zmiany ustawy o banku centralnym , który ma za zadanie dostosować nasze prawo do regulacji obowiązujących w Unii Europejskiej .
wije się jak piskorz	Bayerische HypoVereinsbank wije się jak piskorz , by nie ogłaszać publicznego wezwania inwestorów do sprzedaży akcji BPH .
mają w nosie	Choć , jak podkreśla , kocha zwierzęta , nie kocha tych , którzy mają w nosie jego dom , ogród i jego prawo do czystego trawnika .
wprowadzającą w błąd	środki ochrony przed wprowadzającą w błąd reklamą i prezentacją towaru ( dyrektywa 84 / 450 zawierająca minimalny standard ; dyrektywa 87 / 367 dotycząca produktów , które wyglądają na inne , niż są w istocie , i tym samym stwarzają zagrożenie dla zdrowia i bezpieczeństwa konsumenta ) .
mają nadzieję wejść w koalicję	Ugrupowania , które mają nadzieję wejść w koalicję z PiS , zachowały natomiast wstrzemięźliwość w jego krytykowaniu , a Andrzej Lepper wygłosił nawet płomienną obronę i budżetu , i rządu .
leżą na ulicy	Jeśli zatem jeszcze kiedyś natkniesz się na promocję gminy czy miasta w stylu : " Inwestujcie u nas ! Tu pieniądze leżą na ulicy ! " to już wiesz o co chodzi .
Daję sobie radę	Daję sobie radę ze sobą .
wydaje się być	Taka postawa wydaje się być bardzo na rękę 19-letniemu " Panasiowi " .
Ma prawo zajmować się	Ma prawo zajmować się kwestiami faktycznymi i prawnymi .
legły w gruzach	Marzenia legły w gruzach , bo jest karany - płacze ojciec Dominika .
Czy się stoi czy się leży	Do wyjątków należą wierszowane kawały w rodzaju stwierdzenia : Czy się stoi czy się leży tysiąc złotych się należy .
nie wiedzieć czemu	A i " Machiny " nie wiedzieć czemu uważanej przez branżę prasową i reklamową za tytuł bardzo atrakcyjny dla fanów rocka .
spróbuję swoich sił	- Dopiero kiedy skończyłam skończyła m szkołę średnią , pomyślałam pomyślała m , że może spróbuję swoich sił na serio - mówi .
nabici w butelkę	" Zostaliśmy Zostali śmy nabici w butelkę jak słoń wepchnięty do niej podstępem i bujany w środku za ogon " - pisze redakcja .
miały prawo ubiegać się	Zgodnie z nowym prawem małżeństwa gejowskie , tak jak pary heteroseksualne , będą miały prawo ubiegać się o adopcję dzieci ( mogą to jednak być dzieci tylko narodowości holenderskiej , by uniknąć konfliktów z zagranicznymi organizacjami adopcyjnymi ) .
mają za sobą	Wszystkie otwarte fundusze emerytalne mają za sobą prawie dwa i pół roku działalności inwestycyjnej , a większość z nich zbliża się do trzyletniego okresu inwestowania naszych emerytalnych składek .
wpadający w ucho	Mimo to i w sentymentalnych komedyjkach dla pensjonarek trafiały się czasem pomysłowe sceny , a nadto jakiś łatwo wpadający w ucho kawałek muzyczny .
wyprowadził w pole	Jeśli zawarty związek nie znaczy nic dla partnera , jeżeli oszukał , grał , ukrywał , za nic miał zaufanie , kłamał w żywe oczy , wyprowadził w pole , zadrwił za plecami , nie dotrzymał układu , cichcem i podstępnie przestał być partnerem , to znaczy , że nie ma nic pewnego , znowu jest się samym , porzuconym , posiadanie stronnika było tylko złudzeniem , jest się na tym świecie obcym pomiędzy obcymi , odrzuconym , niechcianym .
mam przed sobą	Rzut oka na " Mawsu'at al-Jihad al-Afghani " ( oryginalny arabski tytuł encyklopedii ) wystarczył , bym by m zrozumiał , że być może mam przed sobą klucz do poznania sekretów organizacji Osama bin Ladena , najgroźniejszego terrorysty świata , odpowiedzialnego m.in . za wspieranie mudżahedinów i zamachy bombowe na ambasady amerykańskie w Afryce w 1998 roku .
doprowadzili do rozłamu	Adams odpowiedzialnością za tę porażkę obarczał Hamiltona i jego ludzi , którzy doprowadzili do rozłamu wśród federalistów .
da się zawrócić kijem	Biegu historii nie da się zawrócić kijem i pewne symbole muszą w niesławie odejść , a że z naszej świadomości odchodzą nieraz bardzo wolno , to potwierdza zdjęcie wejścia przy jednym z bloków wspomnianego przed chwilą osiedla , gdzie , jak widać , Nowotko wiecznie żywy .
przejdzie do historii	Piłkarze PSG zafundowali fanom spektakl , który przejdzie do historii francuskiego futbolu .
przedstawiono zarzut nieudzielenia pomocy	Nie przyszedł również st . sierżant Robert K . , któremu przedstawiono zarzut nieudzielenia pomocy rannemu chłopcu .
Nie ulega wątpliwości	Nie ulega wątpliwości , że dalszy spadek inflacji to najlepszy sposób na wychodzenie z recesji .
podawane do wiadomości	Decyzję władczą cechują , że : 1 ) podejmowane są w sposób sformalizowany , 2 ) przypisywane są określonemu organowi , 3 ) są w odpowiedni sposób podawane do wiadomości , 4 ) mają moc powszechnie obowiązującą .
na swoim koncie ma	- W czasach , gdy Andrzej Lepper i Leszek Miller wyrastają na mężów stanu , pole do działania dla satyryków jest ogromne - mówi Piotr Lisiewicz , dziennikarz " Gazety Polskiej " , lider Akcji Alternatywnej Naszość , która na swoim koncie ma wiele artystycznych osiągnięć i niemal tyle samo procesów sądowych , które same przerodziły się w happeningi .
skakaniem przez płótki	Ponadto , zajęci skakaniem przez płótki i graniem w siatkówkę , niewiele rozumieli z tego , co się wokół nich dzieje .
powołali do życia	Samorządowcy dwa miesiące temu powołali do życia Mokotowski Ośrodek Pomocy Uzależnionym .
w grę wchodził ulatniający się	W dwóch przypadkach konieczny był przyjazd brygady sieciowej , kiedy w grę wchodził ulatniający się gaz z podziemnych rur .
mrożących krew w żyłach	Nie obyło się bez mrożących krew w żyłach sytuacji .
da się przeprowadzić	Zdaje on sobie sprawę , że bez reprywatyzacji nie da się przeprowadzić skutecznych reform własnościowych .
Stojący pod znakiem zapytania	Stojący pod znakiem zapytania występ łódzkiej grupy Blue Cafe jednak doszedł do skutku i to z sukcesem .
doszedł do skutku	Stojący pod znakiem zapytania występ łódzkiej grupy Blue Cafe jednak doszedł do skutku i to z sukcesem .
jest w stanie	Czy mózg jest w stanie zrozumieć mózg ?
oddać w ręce	Ursuska " S " chce większą część udziałów , które dziś ma skarb państwa ( ok . 60 proc . ) , oddać w ręce spółki pracowniczej .
wił się jak piskorz	Michał Koniecpolski wił się jak piskorz , bladł jak papier , czerwieniał jak burak , bredził jak Piekarski na mękach .
Nie ma co	Nie ma co marzyć na razie jeszcze o tym , by kino europejskie przelicytowało amerykańskie sukcesy , w konkursie jednak filmy ze Stanów Zjednoczonych nie będą wcale przeważać .
się w głowie	- Serce waliło mi jak młotem , kręciło mi się w głowie i traciłam traciła m kontrolę nad sobą .
jest w stanie	Prezes Polskiej Miedzi twierdzi , że firma jest w stanie obniżać koszty o 4 - 5 proc . rocznie .
miał przed sobą	Nie zawsze mamy możliwość dokonania takiego eksperymentu w całości , ale nawet ograniczenie się do gry wyobraźni i zadanie sobie pytania : co bym by m zrobił , gdybym gdyby m miał przed sobą rok życia , a następnie zapisanie tego , co serce dyktuje , mogłoby mogło by się stać okazją do sprawdzenia , czy potrzebne są nam jakieś zmiany w bieżącym życiu .
weź pod uwagę	Jednak , dokonując wyboru , weź pod uwagę nie tyle rozmach przedsięwzięcia czy początkową głębokość zmiany , ile szansę realizacji .
mają na swoim koncie	Gangsterzy mają na swoim koncie zabójstwa , wymuszenia , kradzieże , handel i przemyt narkotyków .
nosi w sobie	Nawet profesor nosi w sobie gówno .
przed faktem dokonanym	Postawić Ministerstwo Sprawiedliwości przed faktem dokonanym , skruszyć obawę ministerstwa przed działaniem bardziej dynamicznym .
weszła w życie	- Należy podjąć wszelkie wysiłki , aby konstytucja weszła w życie w 2009 r . - zaapelowali eurodeputowani .
tworzeniu wartości dodanej	Jednak drobna przedsiębiorczość pod względem udziału w zatrudnieniu , tworzeniu wartości dodanej brutto , wydajności pracy czy rentowności powoli upodobnia się do europejskiej , choć pozostały jeszcze pewne cechy odrębne .
Dochodzę do wniosku	Dochodzę do wniosku , że w Sejmie to nie są przedstawiciele narodu , a gromada głupców handlujących między sobą stanowiskami .
stanęły przed oczami	Tym razem chyba wszystkim stanęły przed oczami obrazy z walki Gołota-Lewis .
wprowadzającymi w błąd	ochronę przed fałszywymi i wprowadzającymi w błąd informacjami w zakresie etykietowania towarów ( dyrektywa 79 / 112 , zm . 86 / 187 , 89 / 395 , 93 / 102 , w sprawie oznaczania towarów żywnościowych , uzupełniona dyrektywą 90 / 946 o dobrowolnym zamieszczaniu informacji o wartościach odżywczych na środkach spożywczych , a także dyrektywa 89 / 622 dotycząca oznakowania wyrobów tytoniowych ) ;
Zbita z tropu uśmiechnęła się	- Zbita z tropu uśmiechnęła się niepewnie .
Deklaracje złożenia podpisów złożyli	Deklaracje złożenia podpisów złożyli przedstawiciele komitetów Mirosława Pawlaka i Bolesława Tejkowskiego .
mając na uwadze	My natomiast uważamy , mając na uwadze doświadczenia pastora , że takie referendum powinno koniecznie się odbyć .
nie życzę sobie	Sam uważam się za człowieka lat 70 . , ale nie życzę sobie , by ktokolwiek czynił mi z tego powodu zarzut .
nie ulega wątpliwości	Odpowiedzi jest zapewne wiele , ale jedno nie ulega wątpliwości - praca ta wymaga ogromnego zaangażowania , na które obciążone prowadzeniem domu kobiety rzadko kiedy mogą sobie pozwolić .
dawać do zrozumienia	Aspirant wyartykułował nieokreślony dźwięk , co miało dawać do zrozumienia , że nie chce mieszać się do sporu .
była w stanie	Sprzęt służący do wczesnego wykrywania raka piersi nie służy nikomu dlatego , że najpierw żadna ze spółek powstałych po prywatyzacji ZOZ nie była w stanie udźwignąć kosztów utrzymania tego aparatu , a potem , gdy władze miasta zdecydowały się przekazać go Świętokrzyskiemu Centrum Onkologii , Zakład Ubezpieczeń Społecznych zajął sprzęt na poczet długów ZOZ .
stanął na czele	Po nagłej śmierci Diora stanął na czele jego domu mody w 1957 r .
zdają sobie sprawę	Sygnatariusze listu zdają sobie sprawę , że koszty utrzymania Studia są duże i trochę późno myśli się o zreformowaniu tej instytucji .
szukaj wiatru w polu	Dlatego też bez zwracania większej uwagi wypiorą i wysuszą cienkie jak mgiełka majteczki , schnące mniej więcej trzy minuty , a wtedy szukaj wiatru w polu , głupi zazdrośniku .
był w stanie	Na szczęście Urząd Ochrony Konkurencji i Konsumentów od czasu do czasu karci instytucje finansowe za to , że " zapomniały " poinformować klienta o szczegółach oferty lub gwiazdka była tak mała , że żaden klient nie był w stanie jej zauważyć .
nie ma o czym mówić	Dopóki nie zostaną przekazane szczegółowe przepisy wykonawcze nie ma o czym mówić , a i tak wiadomo , że będą to informacje objęte tajemnicą .
wpadł na pomysł	Jak mówią w BBWR , to jego szef prof . Zbigniew Religa wpadł na pomysł , by przedsięwzięcie sfinansował Belweder .
nie spuszczał z oczu	Linda sprawnie nakrywała do stołu , a Blondyn nie spuszczał z oczu jej wąskich stóp opatulonych w grube skarpety .
stanie na czele	Podkreślił , że " to , kto stanie na czele PE , będzie się decydowało dopiero po wyborach " , które odbędą się w czerwcu 2009 r .
myślę , więc jestem	A potem mówi " myślę , więc jestem " .
wcielania w życie	Po tysiącu lat kreowany jest na patrona jednoczącej się Europy . Stary patron nowej Europy Relikwiarz świętego Wojciecha w Gnieźnie FOT . STANISŁAW CIOK EWA K . CZACZKOWSKA Życie św . Wojciecha znaczyły kryzysy i katastrofy . Niektórzy złośliwi są skłonni nawet powiedzieć , że jego życie było totalnym bankructwem - trafnie zauważył ksiądz Henryk Żochowski na spotkaniu Akcji Katolickiej . Miał być rycerzem , a został biskupem . Dwukrotnie opuszczał biskupstwo szukając azylu w Rzymie , lecz go stamtąd wyrywano pod groźbą ekskomuniki . Pod koniec życia został misjonarzem , ale nikogo nie nawrócił . Ten z pozoru " bankrut " w półtora roku po śmierci został kanonizowany . W roku 1000 u jego grobu w Gnieźnie spotkali się wojciechowy przyjaciel - cesarz niemiecki Otton III , legat papieża Sylwestra II i książę Bolesław Chrobry , z którego dworu wyruszył nawracać pogan . To właśnie podówczas postanowiono utworzyć w Gnieźnie arcybiskupstwo , kładąc podwaliny pod samodzielną organizację kościelną w Polsce , cesarz zaś uznał suwerenność naszego kraju , dzięki czemu Polska mogła czuć się partnerem w europejskiej rodzinie krajów chrześcijańskich . I oto niebawem , 3 czerwca , podczas papieskiej pielgrzymki u grobu św . Wojciecha odbędzie się kolejny zjazd . Tym razem najwyższy hierarcha Kościoła katolickiego spotka się z prezydentami kilku tzw . świętowojciechowych państw : Niemiec , Słowacji , Węgier , Litwy i Polski ( z powodów zdrowotnych zabraknie prezydenta Czech ) oraz z przedstawicielem prezydenta Rosji . Zjazd gnieźnieński w roku 1000 był jednym z elementów wcielania w życie ottonowskiej koncepcji cesarstwa opartego na federacji równouprawnionych ludów . Ten obecny - jak można przypuszczać - będzie głównie przypomnieniem wspólnych chrześcijańskich korzeni Europy Zachodniej i Wschodniej oraz postaci Wojciecha , który podróżując między jej częściami przenosił idee , przerzucał mosty . Szukanie tamtych korzeni Profesor Henryk Samsonowicz w wywiadzie dla " GW " powiedział , że przed tysiącem lat Wojciech nadawał się na świętego " jednoczącej się wówczas Europy " lepiej niż ktokolwiek inny . Czech z pochodzenia , wykształcony w Niemczech , był biskupem Pragi i mnichem benedyktyńskim , przyjacielem cesarza i znajomym papieża ; przebywał w Italii , odwiedził Francję , Węgry , Polskę ; zginął nawracając Prusów . Ale okazuje się , że i teraz , w XX wieku , gdy Europa po rozpadzie dwóch wrogich obozów ponownie się jednoczy i szuka wspólnych korzeni , można sięgnąć do św . Wojciecha i kreować go na patrona wspólnej Europy .
podał do wiadomości	Choć Sąd Lustracyjny nie podał do wiadomości , czy jednym z podejrzanych jest Janusz Tomaszewski , to już wczoraj rano w radiowym wywiadzie był o tym przekonany Marian Krzaklewski .
stanął w miejscu	Potem , gdy przekornie stanął w miejscu , opracowałem opracował em sobie szczegółowy rozkład zajęć .
jest w stanie	Czy pan prezes jest w stanie określić , kiedy zarząd telewizji , którego pan był członkiem , debatował na temat kształtu ustawy czy nad nowelizacją tej ustawy ?
mieć na uwadze	Wykorzystując oznaki lokalne do prognozy pogody należy mieć na uwadze , że wnioskowanie na podstawie tylko jednej oznaki zazwyczaj okazuje się błędne , bowiem prawdopodobieństwo trafnej prognozy jest tym większe , im większa jest liczba oznak wskazujących na ten sam charakter zmian stanu pogody .
nie życzy sobie	Urzędnik departamentu konsularnego i wychodźstwa w MSZ ( nie życzy sobie , żeby wymieniać jego nazwisko ) radzi : - Niech obie panie napiszą podania o umorzenie długu .
rzuty karne wykonywać	Pomysłodawca sugerujący , by rzuty karne wykonywać przed rozpoczęciem gry wychodzi z założenia , że zwycięzcą rywalizacji w meczu zakończonym remisem będzie zespół , który wygrał konkurs " jedenastek " .
wychodzi z założenia	Pomysłodawca sugerujący , by rzuty karne wykonywać przed rozpoczęciem gry wychodzi z założenia , że zwycięzcą rywalizacji w meczu zakończonym remisem będzie zespół , który wygrał konkurs " jedenastek " .
są w stanie	Niespotykanie obfite opady śniegu sprawiły , że stada , które są głównym źródłem utrzymania ludności wiejskiej , nie są w stanie się wyżywić .
wychodzi z siebie	Mimo że administracja Clintona wychodzi z siebie , aby nie zwracać uwagi na postępowanie Rosji w Czeczenii , Kongres podnosi coraz to nowe problemy w stosunkach z Moskwą .
Własnym oczom nie	Własnym oczom nie wierzyliśmy wierzyli śmy , kiedy wczoraj prezydent Lech Kaczyński ( 57 l . ) kroczył na spotkanie ze sportowcami .
postawione na jedną kartę	Wszystko zostało postawione na jedną kartę - albo my albo oni .
wchodzi w życie	Z dniem 1 sierpnia w Nowym Jorku wchodzi w życie rygorystyczne prawo , pozwalające nawet na . . . konfiskatę auta z tablicami dyplomatycznymi , które jest obciążone mandatami za parkowanie .
Z propozycją roli	Z propozycją roli mediatora w sprawie Stoczni Szczecińskiej wystąpił Uniwersytet Szczeciński .
ma na celu	Dr Stelągowski twierdzi , że uszczelnione sito opieki podstawowej ma na celu ograniczenie specjalistycznych świadczeń medycznych .
Odebrali sobie życie	Odebrali sobie życie 13 lutego i 13 marca .
wchodzący w skład	W piątek ( 3 bm . ) do świnoujskiego portu wojennego wpłynie zespół okrętów wchodzący w skład Sił Natychmiastowego Reagowania NATO .
miał wyrzutów sumienia	" Jankowski " , bo taki miał pseudonim , nie miał wyrzutów sumienia , donosząc na prymasa Wyszyńskiego , o . Ziębę , Jacka Kuronia i ks . Popiełuszkę .
mających za sobą	Już po raz drugi odbędzie się więc w Lublinie Otwarty Konkurs Fryzjerski dla młodych fryzjerów ( do lat 30 ) i uczniów mających za sobą przynajmniej 3 lata nauki zawodu .
wchodzących w skład	Za szkody wyrządzone w obwodach łowieckich - leśnych , odszkodowanie wypłacają Lasy Państwowe , a na terenach obwodów łowieckich - polnych i na terenach nie wchodzących w skład obwodów łowieckich - wojewodowie .
Jak się zwał , tak się zwał	- Jak się zwał , tak się zwał , byleby byle by się dobrze miał .
Tak się składa	Tak się składa , że obecnie czołówka Ministerstwa Sprawiedliwości dołączyła do opinii publicznej i naturalnie czerpie z tego korzyści propagandowe : nareszcie mamy ministra i prokuratora generalnego , który nie będzie się z przestępcami cackał !
oddać do użytku	Na przełomie czerwca i lipca Stomil - Olsztyn SA zamierza oddać do użytku budowany właśnie magazyn opon .
siada za kółkiem	Bardzo źle się dzieje , gdy coraz więcej kierowców siada za kółkiem po wypiciu alkoholu , jest zaś jeszcze gorzej , gdy to samo robią stróże porządku .
będzie w stanie	Być może Kwartet ( USA , ONZ , UE i Rosja ) z udziałem sił demokratycznych w społeczeństwie palestyńskim będzie w stanie to w części zrealizować .
nie ma co	Bo na dobroduszność szpitala matka Kamila nie ma co liczyć .
trzyma przy życiu	Co mnie trzyma przy życiu , to nadzieja , że wezmę odwet .
zdają sobie sprawę	Nie wszyscy pamiętający ten okres zdają sobie sprawę , iż amortyzatorem skutków terapii szokowej , skierowanej na uzdrowienie chorej gospodarki publicznej , byli ci " groszowi " drobni wytwórcy , uliczni handlarze , którzy rychło stali się właścicielami sklepów ( handel detaliczny został prawie w całości sprywatyzowany w ciągu 2-3 lat ) .
Bo ja wiem	– Bo ja wiem ? – Monte Cassino rozłożył bezradnie ręce .
puszczamy wodze wyobraźni	Zdaniem projektantów ( wolą być nazywani designerami ) pozwalamy sobie na odrobinę swobody i puszczamy wodze wyobraźni tylko w kuchni .
wziąć za pysk	Kończąc , Michał Zieliński pisze , że zamiast przełamywania liberalnego dogmatu nierówności " lepiej zgodnie z zaleceniem Stefana Kisielewskiego - po liberalnemu - wziąć za pysk " .
weszła w życie	Z nowym rokiem weszła w życie również ustawa o ochronie osób i mienia , która stawia przed osobami chcącymi pracować jako ochroniarze lub prowadzić agencję ochrony wyższe wymagania .
nie ma co	Na Dworcu oni dali innym cynk , że nie ma co wychodzić .
nie ma mowy	W oczywisty sposób jest to za mało , nie ma mowy o np . wspólnym analizowaniu i poprawianiu prac , o jakimkolwiek indywidualnym podejściu .
cierpiąca na zaburzenia	W niedzielę zaniepokojona rodzina z Krakowa zawiadomiła TOPR , że cierpiąca na zaburzenia psychiczne ich krewna , prawdopodobnie poszła w góry z zamiarem popełnienia samobójstwa .
W pale nie mieściło się	W pale nie mieściło się do tej pory , że techniki rozrodcze można skatalogować aż na tyle sposobów !
zarzut znęcania się	Przedstawiono mu zarzut znęcania się nad zwierzęciem .
zwróciły znajdujące się	Uwagę funkcjonariuszy gdyńskiego Urzędu Celnego zwróciły znajdujące się w pierwszych rzędach kontenera miski ceramiczne .
nie chcą słyszeć	Ormianie w ogóle nie chcą słyszeć o pozostawaniu częścią Azerbejdżanu .
przyjdą do głowy	- Na wstępie proszę o nieprzerywanie naszego spotkania , bo na 95 procent pytań , jakie Państwu przyjdą do głowy , padnie tu odpowiedź .
I to by było na tyle	- I to by było na tyle - stwierdziła bez żalu Marzena , wycierając jedną upapraną dłonią drugą , równie brudną .
uderzać pięścią w stół	Wydaje się , że jest radykalny i może zbyt często uderzać pięścią w stół , choć on deklaruje , że tak się nie stanie .
miał na myśli	Dziennikarze chcieli się koniecznie dowiedzieć , kogo Jelcyn miał na myśli w piątek w Jekaterynburgu , gdy oświadczył , że zna nazwisko przyszłego prezydenta Rosji po wyborach w 2000 r .
powołany na stanowisko	W roku 2001 został powołany na stanowisko kierownika Zakładu Filozofii Współczesnej Instytutu Filozofii UŁ .
nie ulega wątpliwości	Pilch : - Selekcjoner powinien mieć dobre warunki pracy , tymczasem nie ulega wątpliwości , że Engel tą porażką swoje warunki pracy mocno sobie utrudnił .
Nie ma co	Nie ma co się denerwować .
spodobało się mieć na własność	Teatr , o którym mowa , powstał w drugiej połowie lat 70 . dzięki sile perswazji jednego człowieka , któremu akurat spodobało się mieć na własność taką zabawkę , jak teatr satyry .
są w stanie	Z braku środków sądy nie są w stanie nabyć materiałów biurowych .
zaprzątał sobie głowy	Panował niebywały entuzjazm i z początku nikt nie zaprzątał sobie głowy pytaniem , jak ukarać członków junty - tym bardziej że oni sami woleli zejść ludziom z oczu .
składaniu w ofierze	Nie odprawiali więc czarnych mszy polegających na składaniu w ofierze szatanowi ludzi .
weźmiemy pod uwagę	Ponadto podkreślają oni - nonsensowność koncepcji teoretycznych , bazujących na takich poglądach staje się jeszcze bardziej wyrazista , jeśli weźmiemy pod uwagę sytuację zmian miejsca pracy .
wyszedł na jaw	Fakt , że 26-letni Krzysztof R . był bity przez żonę , wyszedł na jaw dopiero na rozprawie rozwodowej .
mam zamiaru afiszować się	- Wybaczy pan , nie mam zamiaru afiszować się z poglądami .
nie ma mowy	O oprocentowaniu rat nie ma mowy , ponieważ to wyznacza ustawa o gospodarce nieruchomościami .
zdają się odnosić	Tymczasem zaś , jak donoszą " Izwiestia " , zrozpaczeni wielomiesięcznym oczekiwaniem na wypłacenie zaległych zarobków górnicy Zagłębia Kuźnieckiego coraz przychylniej zdają się odnosić do zabójstwa na zamówienie jako nowego środka walki klasowej , zwłaszcza że Moskwa twierdzi , iż pieniądze dawno przekazała , a wina za zwłokę spoczywa na miejscowym kierownictwie .
nie ma się co spieszyć	Lider SLD Włodzimierz Cimoszewicz mówił kilka dni po wyborach , że z wejściem do NATO nie ma się co spieszyć , a Micewski uważał , że rozszerzenie Paktu na Wschód nie może odbywać się bez uzgodnienia z Rosją .
Biorąc pod uwagę	Biorąc pod uwagę te wymagania , do czerwca tego roku zarejestrowano w województwie śląskim 333 zagraniczne firmy .
wejść w życie	Konstytucja , aby wejść w życie , musiała być ratyfikowana przez legislatury stanowe .
się obawiać podejmowania ryzyka	Zbigniew Stypa , prezes Ship Service , uważa , że w takiej sytuacji wielu przedsiębiorców może się obawiać podejmowania ryzyka gospodarczego , gdyż np . może mieć obawy jak daną operację handlową potraktują organa karno - skarbowe .
doszli do wniosku	Po pierwszych oględzinach doszli do wniosku , że nie budzi zastrzeżeń .
w grę wchodzą	Zamoyski : Kiedy w grę wchodzą interesy , przyjaźnie się kończą .
będzie w stanie	Już wówczas Kukliński wspomniał , że nie będzie w stanie opłacić obowiązującego w Polsce podatku od darowizny .
wiąże koniec z końcem	W efekcie ledwo wiąże koniec z końcem i nigdy nie miała na koncie więcej niż parę tysięcy dolarów .
będą w stanie	" Inteligentne " systemy będą w stanie je właściwie zinterpretować i błyskawicznie zareagować , by uchronić samolot lub samochód przed katastrofą .
weszli w skład	Starosta makowski Kazimierz Białobrzeski i burmistrz miasta Tadeusz Ciak weszli w skład rady programowej projektu , który mówiąc najogólniej dotyczy gospodarowania odpadami .
przyszedł na świat	Tymczasem rodzice Sebastiana Kraszewskiego , który przyszedł na świat minutę po rozpoczęciu się 2000 roku w Wojewódzkim Szpitalu Specjalistycznym we Wrocławiu , otrzymali już od premiera Jerzego Buzka wózek dziecięcy i list gratulacyjny .
